No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,,,
153,TRD2022082300187,Jelambar Baru,11460,Cilincing,14120,1,2,SIUNT,,,
154,TRD2022082300280,Jelambar Baru,11460,Cingcin,40914,1,2,SIUNT,,,
155,TRD2022082300183,Jelambar Baru,11460,Cinta Damai,20126,1,3,SIUNT,,,
156,TRD2022082300214,Jelambar Baru,11460,Cipadu,15155,1,2,SIUNT,,,
157,TRD2022082300205,Jelambar Baru,11460,Cipaku,16133,1,2,SIUNT,,,
158,TRD2022082300218,Jelambar Baru,11460,Cipondoh,15148,1,2,SIUNT,,,
159,TRD2022082300251,Jelambar Baru,11460,Curup (Dusun Curup),38575,7,11,SIUNT,,,
160,TRD2022082300092,Jelambar Baru,11460,Dampaan,61171,3,6,SIUNT,,,
161,TRD2022082300264,Jelambar Baru,11460,Danukusuman,57156,1,2,SIUNT,,,
162,TRD2022082300279,Jelambar Baru,11460,Darat Sekip,78117,3,5,SIUNT,,,
163,TRD2022082300163,Jelambar Baru,11460,Delima,28291,1,3,SIUNT,,,
164,TRD2022082300263,Jelambar Baru,11460,Delod Peken,82121,5,9,SIUNT,,,
165,TRD2022082300295,Jelambar Baru,11460,Dolok Marlawan,21151,5,9,SIUNT,,,
166,TRD2022082300148,Jelambar Baru,11460,Donggala Kodi,94226,2,4,SIUNT,,,
167,TRD2022082300104,Jelambar Baru,11460,Donggala Kodi,94226,2,4,SIUNT,,,
168,TRD2022082300089,Jelambar Baru,11460,Dua Laus,85752,12,15,SIUNT,,,
169,TRD2022082300298,Jelambar Baru,11460,Dukuh Kupang,60189,1,2,SIUNT,,,
170,TRD2022082300151,Jelambar Baru,11460,Duren Sawit,13440,1,2,SIUNT,,,
171,TRD2022082300132,Jelambar Baru,11460,Duren Sawit,13440,1,2,SIUNT,,,
172,TRD2022082300267,Jelambar Baru,11460,Duri Kepa,11510,1,2,SIUNT,,,
173,TRD2022082300036,Jelambar Baru,11460,Embong Kaliasin,60271,1,2,SIUNT,,,
174,TRD2022082300088,Jelambar Baru,11460,Embu Ngena,86319,5,8,SIUNT,,,
175,TRD2022082300116,Jelambar Baru,11460,Gamalama,97721,2,4,SIUNT,,,
176,TRD2022082300090,Jelambar Baru,11460,Gamalama,97721,2,4,SIUNT,,,
177,TRD2022082300225,Jelambar Baru,11460,Garuda,40184,1,2,SIUNT,,,
178,TRD2022082300252,Jelambar Baru,11460,Goarie,90862,5,7,SIUNT,,,
179,TRD2022082300084,Jelambar Baru,11460,Grogol,11450,1,2,SIUNT,,,
180,TRD2022082300052,Jelambar Baru,11460,Guntur,12980,1,2,SIUNT,,,
181,TRD2022082300207,Jelambar Baru,11460,Guntur,12980,1,2,SIUNT,,,
182,TRD2022082300145,Jelambar Baru,11460,Gunung Anyar,60294,1,2,SIUNT,,,
183,TRD2022082300255,Jelambar Baru,11460,Gunung Besar,72213,7,10,SIUNT,,,
184,TRD2022082300063,Jelambar Baru,11460,Gunungcupu,42271,3,6,SIUNT,,,
185,TRD2022082300099,Jelambar Baru,11460,Gunung Mas,32382,3,6,SIUNT,,,
186,TRD2022082300086,Jelambar Baru,11460,Gunungsimping,53211,1,2,SIUNT,,,
187,TRD2022082300069,Jelambar Baru,11460,Hambala,87112,5,8,SIUNT,,,
188,TRD2022082300196,Jelambar Baru,11460,Harapan Baru,17123,1,2,SIUNT,,,
189,TRD2022082300173,Jelambar Baru,11460,Harapanmulya,17143,1,2,SIUNT,,,
190,TRD2022082300154,Jelambar Baru,11460,Harjosari,28122,1,3,SIUNT,,,
191,TRD2022082300054,Jelambar Baru,11460,Jaka Mulya,17146,1,2,SIUNT,,,
192,TRD2022082300041,Jelambar Baru,11460,Jaka Mulya,17146,1,2,SIUNT,,,
193,TRD2022082300093,Jelambar Baru,11460,Jatipulo,11430,1,2,SIUNT,,,
194,TRD2022082300127,Jelambar Baru,11460,Jatipulo,11430,1,2,SIUNT,,,
195,TRD2022082300237,Jelambar Baru,11460,Jelapat,73713,7,10,SIUNT,,,
196,TRD2022082300186,Jelambar Baru,11460,Joglo,11640,1,2,SIUNT,,,
197,TRD2022082300288,Jelambar Baru,11460,Jono,57277,3,6,SIUNT,,,
198,TRD2022082300131,Jelambar Baru,11460,Jurang Mangu Barat,15223,1,2,SIUNT,,,
199,TRD2022082300074,Jelambar Baru,11460,Kacaribu,22111,4,6,SIUNT,,,
200,TRD2022082300044,Jelambar Baru,11460,Kaliabu,63153,3,6,SIUNT,,,
201,TRD2022082300094,Jelambar Baru,11460,Kalibaru,16414,1,2,SIUNT,,,
202,TRD2022082300106,Jelambar Baru,11460,Kalibaru,16414,1,2,SIUNT,,,
203,TRD2022082300293,Jelambar Baru,11460,Kaliwulu,45154,1,2,SIUNT,,,
204,TRD2022082300281,Jelambar Baru,11460,Kaliwulu,45154,1,2,SIUNT,,,
205,TRD2022082300107,Jelambar Baru,11460,Kalosi,91754,5,7,SIUNT,,,
206,TRD2022082300040,Jelambar Baru,11460,Kamasi,95442,7,10,SIUNT,,,
207,TRD2022082300071,Jelambar Baru,11460,Karanganyar,66362,3,6,SIUNT,,,
208,TRD2022082300289,Jelambar Baru,11460,Karangsari,55652,3,6,SIUNT,,,
209,TRD2022082300265,Jelambar Baru,11460,Kawatuna,94233,2,4,SIUNT,,,
210,TRD2022082300185,Jelambar Baru,11460,Klumpit,62372,3,6,SIUNT,,,
211,TRD2022082300202,Jelambar Baru,11460,Koja (Utara-Selatan),14210,1,2,SIUNT,,,
212,TRD2022082300109,Jelambar Baru,11460,Kole Palian,91856,5,7,SIUNT,,,
213,TRD2022082300082,Jelambar Baru,11460,Kondangjajar,46394,3,6,SIUNT,,,
214,TRD2022082300167,Jelambar Baru,11460,Kota Matsum II,20215,1,3,SIUNT,,,
215,TRD2022082300303,Jelambar Baru,11460,Krobokan,50141,1,2,SIUNT,,,
216,TRD2022082300213,Jelambar Baru,11460,Kuanino,85119,3,5,SIUNT,,,
217,TRD2022082300140,Jelambar Baru,11460,Laboi Jaya,28463,5,9,SIUNT,,,
218,TRD2022082300308,Jelambar Baru,11460,Labuhan Deli,20254,1,3,SIUNT,,,
219,TRD2022082300056,Jelambar Baru,11460,Labuhan Ratu Satu (I),34396,2,4,SIUNT,,,
220,TRD2022082300178,Jelambar Baru,11460,Lalang Baru,78617,5,8,SIUNT,,,
221,TRD2022082300157,Jelambar Baru,11460,Lateri,97231,2,3,SIUNT,,,
222,TRD2022082300236,Jelambar Baru,11460,Lateri,97231,2,3,SIUNT,,,
223,TRD2022082300133,Jelambar Baru,11460,Lateri,97231,2,3,SIUNT,,,
224,TRD2022082300249,Jelambar Baru,11460,Lateri,97231,2,3,SIUNT,,,
225,TRD2022082300171,Jelambar Baru,11460,Lateri,97231,2,3,SIUNT,,,
226,TRD2022082300137,Jelambar Baru,11460,Lateri,97231,2,3,SIUNT,,,
227,TRD2022082300176,Jelambar Baru,11460,Lembah Damai,28263,1,3,SIUNT,,,
228,TRD2022082300037,Jelambar Baru,11460,Leok 1,94573,9,11,SIUNT,,,
229,TRD2022082300219,Jelambar Baru,11460,Lintongnihuta,22392,7,11,SIUNT,,,
230,TRD2022082300191,Jelambar Baru,11460,Lodtunduh,80582,5,9,SIUNT,,,
231,TRD2022082300197,Jelambar Baru,11460,Lubuak Tarok,27553,5,9,SIUNT,,,
232,TRD2022082300287,Jelambar Baru,11460,Lubuk Pakam I-II,20511,6,9,SIUNT,,,
233,TRD2022082300292,Jelambar Baru,11460,Lubuk Pandan,25584,5,9,SIUNT,,,
234,TRD2022082300144,Jelambar Baru,11460,Lubuk Ramo,29564,5,9,SIUNT,,,
235,TRD2022082300138,Jelambar Baru,11460,Makroman,75115,2,4,SIUNT,,,
236,TRD2022082300233,Jelambar Baru,11460,Manembo Nembo Tengah,95545,7,10,SIUNT,,,
237,TRD2022082300048,Jelambar Baru,11460,Manembo Nembo Tengah,95545,7,10,SIUNT,,,
238,TRD2022082300038,Jelambar Baru,11460,Mangkio Baru,94711,7,9,SIUNT,,,
239,TRD2022082300070,Jelambar Baru,11460,Marbau,21452,5,9,SIUNT,,,
240,TRD2022082300201,Jelambar Baru,11460,Margajaya,16116,1,2,SIUNT,,,
241,TRD2022082300042,Jelambar Baru,11460,Margalaksana,45311,2,3,SIUNT,,,
242,TRD2022082300254,Jelambar Baru,11460,Marindal Dua,20361,7,11,SIUNT,,,
243,TRD2022082300206,Jelambar Baru,11460,Medan Tenggara,20228,1,3,SIUNT,,,
244,TRD2022082300209,Jelambar Baru,11460,Mekarsari,42438,1,2,SIUNT,,,
245,TRD2022082300112,Jelambar Baru,11460,Mekarsari,15720,1,2,SIUNT,,,
246,TRD2022082300177,Jelambar Baru,11460,Meunasah Blang /Blt,24352,6,8,SIUNT,,,
247,TRD2022082300061,Jelambar Baru,11460,Mlaran,54191,3,6,SIUNT,,,
248,TRD2022082300064,Jelambar Baru,11460,Morombo Pantai,93352,11,13,SIUNT,,,
249,TRD2022082300232,Jelambar Baru,11460,Muara Pagatan Tengah,72273,7,10,SIUNT,,,
250,TRD2022082300297,Jelambar Baru,11460,Napal Sisik,36611,4,7,SIUNT,,,
251,TRD2022082300034,Jelambar Baru,11460,Neusu Aceh,23244,1,3,SIUNT,,,
252,TRD2022082300239,Jelambar Baru,11460,Ngelom,61257,1,2,SIUNT,,,
253,TRD2022082300083,Jelambar Baru,11460,Nusaniwe I,97117,2,3,SIUNT,,,
254,TRD2022082300226,Jelambar Baru,11460,Nyelanding,38765,7,11,SIUNT,,,
255,TRD2022082300077,Jelambar Baru,11460,Oenoni Dua,85367,12,15,SIUNT,,,
256,TRD2022082300055,Jelambar Baru,11460,Padang Maninjau,21455,5,9,SIUNT,,,
257,TRD2022082300035,Jelambar Baru,11460,Padang Mulia,33681,3,6,SIUNT,,,
258,TRD2022082300051,Jelambar Baru,11460,Pahlawan Belui,37161,5,9,SIUNT,,,
259,TRD2022082300256,Jelambar Baru,11460,Pandan Sari,24784,5,8,SIUNT,,,
260,TRD2022082300221,Jelambar Baru,11460,Panjer,80225,1,3,SIUNT,,,
261,TRD2022082300194,Jelambar Baru,11460,Panjer,80113,1,3,SIUNT,,,
262,TRD2022082300276,Jelambar Baru,11460,Panjer,80113,1,3,SIUNT,,,
263,TRD2022082300087,Jelambar Baru,11460,Panjer,80113,1,3,SIUNT,,,
264,TRD2022082300081,Jelambar Baru,11460,Panjer,80225,1,3,SIUNT,,,
265,TRD2022082300159,Jelambar Baru,11460,Panunggulan,22989,5,9,SIUNT,,,
266,TRD2022082300165,Jelambar Baru,11460,Pasawahan,44151,3,6,SIUNT,,,
267,TRD2022082300302,Jelambar Baru,11460,Patam Lestari,29427,1,2,SIUNT,,,
268,TRD2022082300278,Jelambar Baru,11460,Patam Lestari,29427,1,2,SIUNT,,,
269,TRD2022082300114,Jelambar Baru,11460,Payung Sekaki,28558,5,9,SIUNT,,,
270,TRD2022082300299,Jelambar Baru,11460,Pekuwon,54363,3,6,SIUNT,,,
271,TRD2022082300039,Jelambar Baru,11460,Pelaju Baru,72161,7,10,SIUNT,,,
272,TRD2022082300100,Jelambar Baru,11460,Pematang,42184,3,6,SIUNT,,,
273,TRD2022082300216,Jelambar Baru,11460,Pemenang Timur,83352,14,16,SIUNT,,,
274,TRD2022082300135,Jelambar Baru,11460,Perkebunan Pulau Rambung,20774,5,9,SIUNT,,,
275,TRD2022082300126,Jelambar Baru,11460,Pesouha,93562,9,11,SIUNT,,,
276,TRD2022082300229,Jelambar Baru,11460,Pesouha,93562,9,11,SIUNT,,,
277,TRD2022082300111,Jelambar Baru,11460,Poris Gaga,15122,1,2,SIUNT,,,
278,TRD2022082300305,Jelambar Baru,11460,Putri Puyu,28752,12,15,SIUNT,,,
279,TRD2022082300272,Jelambar Baru,11460,Rada Mata,87255,7,12,SIUNT,,,
280,TRD2022082300146,Jelambar Baru,11460,Ramanuju,42431,1,2,SIUNT,,,
281,TRD2022082300230,Jelambar Baru,11460,Randuagung,65153,3,6,SIUNT,,,
282,TRD2022082300050,Jelambar Baru,11460,Rejosari,58152,3,6,SIUNT,,,
283,TRD2022082300269,Jelambar Baru,11460,Rungkut Tengah,60239,1,2,SIUNT,,,
284,TRD2022082300193,Jelambar Baru,11460,Rungkut Tengah,60293,1,2,SIUNT,,,
285,TRD2022082300141,Jelambar Baru,11460,S 1/Satu Aek Nabara,21451,5,9,SIUNT,,,
286,TRD2022082300262,Jelambar Baru,11460,S 1/Satu Aek Nabara,21451,5,9,SIUNT,,,
287,TRD2022082300122,Jelambar Baru,11460,Sabamban,74363,9,11,SIUNT,,,
288,TRD2022082300161,Jelambar Baru,11460,Sandangan Satu,95691,7,10,SIUNT,,,
289,TRD2022082300286,Jelambar Baru,11460,Sangaji Utara,97751,2,4,SIUNT,,,
290,TRD2022082300243,Jelambar Baru,11460,Sawangan,95371,5,8,SIUNT,,,
291,TRD2022082300290,Jelambar Baru,11460,Sebemban,78564,7,10,SIUNT,,,
292,TRD2022082300121,Jelambar Baru,11460,Sei/Sungai Pasir Putih,29352,5,9,SIUNT,,,
293,TRD2022082300200,Jelambar Baru,11460,Serpong,15311,1,2,SIUNT,,,
