No,shipment_order_no,awb_number,weight,origin_subdistrict,origin_postal_code,destination_subdistrict,destination_postal_code,rate_code,min_sla,max_sla,min_sla_api,max_sla_api
40031,TRD2023010604583,0136932300010312,1,Grogol,11450,Waetuwo,90951,REG23,5,,,
40032,TRD2023010604584,0136932300010445,1,Grogol,11450,Donggala Kodi,94226,REG23,2,,,
40033,TRD2023010604590,0136932300010676,1,Grogol,11450,Ahusen,97127,REG23,2,,,
40034,TRD2023010604592,0136932300010544,1,Grogol,11450,Putri Puyu,28752,REG23,3,,,
40035,TRD2023010604593,0136932300010841,1,Grogol,11450,Air Itam,33149,REG23,1,,,
40036,TRD2023010604594,0136932300010601,1,Grogol,11450,Manado Tua Satu,95231,REG23,2,,,
40037,TRD2023010604595,0136932300010734,1,Grogol,11450,Kuler (Tunas Baru),99616,REG23,6,,,
40038,TRD2023010604598,0136932300010585,1,Grogol,11450,Walimpong,92763,REG23,5,,,
40039,TRD2023010604599,0136932300010627,1,Grogol,11450,Kadoodan,95513,REG23,5,,,
40040,TRD2023010604603,0136932300010478,1,Grogol,11450,Prabumulih II,31666,REG23,3,,,
40041,TRD2023010604606,0136932300010692,1,Grogol,11450,Kampung Baru,75558,REG23,1,10,,
40042,TRD2023010604627,0136932300010791,1,Grogol,11450,Berang Rea,84371,REG23,3,,,
40043,TRD2023010604628,0136932300010726,1,Grogol,11450,Balam Sempurna Kota,28992,REG23,3,,,
40044,TRD2023010604642,0136932300011047,1,Grogol,11450,Atep,95694,REG23,5,,,
40045,TRD2023010604648,0136932300010957,1,Grogol,11450,Mataram Timur,83121,REG23,1,,,
40046,TRD2023010605157,2534902300010459,1,Bunigeulis,45556,Sereh,99352,REG23,4,,,
40047,TRD2023010605160,2534902300010566,1,Bunigeulis,45556,Kuler (Tunas Baru),99616,REG23,6,,,
40048,TRD2023010605162,2534902300010483,1,Bunigeulis,45556,Samau,98118,REG23,4,,,
40049,TRD2023010605164,2534902300010673,1,Bunigeulis,45556,Mbuwa,99910,REG23,6,,,
40050,TRD2023010605165,2534902300010616,1,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,REG23,2,,,
40051,TRD2023010605167,2534902300010491,1,Bunigeulis,45556,Mbuwa,99910,REG23,6,,,
40052,TRD2023010605168,2534902300010517,1,Bunigeulis,45556,Sereh,99352,REG23,4,,,
40053,TRD2023010605170,2534902300010681,1,Bunigeulis,45556,Ardipura,99223,REG23,2,,,
40054,TRD2023010605171,2534902300010632,1,Bunigeulis,45556,Bumi Wonorejo,98813,REG23,6,,,
40055,TRD2023010605176,2534902300010525,1,Bunigeulis,45556,Sereh,99352,REG23,4,,,
40056,TRD2023010605177,2534902300010558,1,Bunigeulis,45556,Uskwar,99468,REG23,6,,,
40057,TRD2023010605279,0733272300031969,1,Pekayon Jaya,17148,Amban,98314,REG23,4,,,
40058,TRD2023010605281,0733272300031985,1,Pekayon Jaya,17148,Mbuwa,99910,REG23,6,,,
40059,TRD2023010605283,0733272300032009,1,Pekayon Jaya,17148,Sentosa (Santosa),99356,REG23,6,,,
40060,TRD2023010605284,0733272300032025,1,Pekayon Jaya,17148,Yokiwa,99359,REG23,6,,,
40061,TRD2023010605288,0733272300032058,1,Pekayon Jaya,17148,Bumi Wonorejo,98813,REG23,6,,,
40062,TRD2023010605291,0733272300032074,1,Pekayon Jaya,17148,Ahusen,97127,REG23,2,,,
40063,TRD2023010605295,0733272300032124,1,Pekayon Jaya,17148,Gamsungi,97762,REG23,3,,,
40064,TRD2023010605296,0733272300032132,1,Pekayon Jaya,17148,Marantutul,97464,REG23,1,10,,
40065,TRD2023010605297,0733272300032140,1,Pekayon Jaya,17148,Marantutul,97464,REG23,1,10,,
40066,TRD2023010605298,0733272300032157,1,Pekayon Jaya,17148,Tanah Raja,97713,REG23,2,,,
40067,TRD2023010605301,0733272300032181,1,Pekayon Jaya,17148,Rajawali,97593,REG23,1,10,,
40068,TRD2023010605302,0733272300032199,1,Pekayon Jaya,17148,Sereh,99352,REG23,6,,,
40069,TRD2023010605303,0733272300032231,1,Pekayon Jaya,17148,Gamsungi,97762,REG23,3,,,
40070,TRD2023010605307,0733272300032256,1,Pekayon Jaya,17148,Sangaji Utara,97751,REG23,2,,,
40071,TRD2023010605310,0733272300032264,1,Pekayon Jaya,17148,Imhasuma,98315,REG23,6,,,
40072,TRD2023010605312,0733272300032298,1,Pekayon Jaya,17148,Marantutul,97464,REG23,1,10,,
40073,TRD2023010605313,0733272300032306,1,Pekayon Jaya,17148,Dgandasuli (Gandasuli),97791,REG23,5,,,
40074,TRD2023010605314,0733272300032314,1,Pekayon Jaya,17148,Imhasuma,98315,REG23,6,,,
40075,TRD2023010605315,0733272300032330,1,Pekayon Jaya,17148,Rumah Tiga,97234,REG23,5,,,
40076,TRD2023010605318,0733272300032348,1,Pekayon Jaya,17148,Matalamagi (Matalamangi),98419,REG23,2,,,
40077,TRD2023010605319,0733272300032371,1,Pekayon Jaya,17148,Amban,98314,REG23,4,,,
40078,TRD2023010605322,0733272300032421,1,Pekayon Jaya,17148,Matalamagi (Matalamangi),98419,REG23,2,,,
40079,TRD2023010605323,0733272300032439,1,Pekayon Jaya,17148,Tanah Raja,97713,REG23,2,,,
40080,TRD2023010605324,0733272300032397,1,Pekayon Jaya,17148,Dgandasuli (Gandasuli),97791,REG23,5,,,
40081,TRD2023010605327,0733272300032553,1,Pekayon Jaya,17148,Ahusen,97127,REG23,2,,,
40082,TRD2023010605329,0733272300032520,1,Pekayon Jaya,17148,Ahusen,97127,REG23,2,,,
40083,TRD2023010605330,0733272300032538,1,Pekayon Jaya,17148,Ahusen,97127,REG23,2,,,
40084,TRD2023010605332,0733272300032447,1,Pekayon Jaya,17148,Holmafen (Holmafem),99373,REG23,6,,,
40085,TRD2023010605334,0733272300032462,1,Pekayon Jaya,17148,Tanah Raja,97713,REG23,2,,,
40086,TRD2023010605336,0733272300032603,1,Pekayon Jaya,17148,Tanah Raja,97713,REG23,2,,,
40087,TRD2023010605337,0733272300032488,1,Pekayon Jaya,17148,Dgandasuli (Gandasuli),97791,REG23,5,,,
40088,TRD2023010605342,0733272300032629,1,Pekayon Jaya,17148,Tanah Raja,97713,REG23,2,,,
40089,TRD2023010605349,0733272300032702,1,Pekayon Jaya,17148,Gamsungi,97762,REG23,3,,,
40090,TRD2023010605350,0733272300032686,1,Pekayon Jaya,17148,Gamsungi,97762,REG23,3,,,
40091,TRD2023010605353,0733272300032710,1,Pekayon Jaya,17148,Mbuwa,99910,REG23,6,,,
40092,TRD2023010605357,0733272300032728,1,Pekayon Jaya,17148,Ahusen,97127,REG23,2,,,
40093,TRD2023010605362,0733272300032934,1,Pekayon Jaya,17148,Gamsungi,97762,REG23,3,,,
40094,TRD2023010605365,0733272300032801,1,Pekayon Jaya,17148,Tuada,97752,REG23,5,,,
40095,TRD2023010605366,0733272300032983,1,Pekayon Jaya,17148,Pediwang (Pidiwang),97764,REG23,5,,,
40096,TRD2023010605367,0733272300032884,1,Pekayon Jaya,17148,Desa Beru,84458,REG23,3,,,
40097,TRD2023010605368,0733272300032835,1,Pekayon Jaya,17148,Skow Mabo (Skouw Mabo ),99351,REG23,6,,,
40098,TRD2023010605369,0733272300032900,1,Pekayon Jaya,17148,Ketsoblak,97611,REG23,1,10,,
40099,TRD2023010605370,0733272300032785,1,Pekayon Jaya,17148,Manyaifun,98481,REG23,6,,,
40100,TRD2023010605371,0733272300032819,1,Pekayon Jaya,17148,Klasabi,98415,REG23,2,,,
40101,TRD2023010605372,0733272300032918,1,Pekayon Jaya,17148,Gamsungi,97762,REG23,3,,,
40102,TRD2023010605373,0733272300032827,1,Pekayon Jaya,17148,Dgandasuli (Gandasuli),97791,REG23,5,,,
40103,TRD2023010605374,0733272300032926,1,Pekayon Jaya,17148,Imhasuma,98315,REG23,6,,,
40104,TRD2023010605376,0733272300032991,1,Pekayon Jaya,17148,Sawai Itepo,97853,REG23,5,,,
40105,TRD2023010605377,0733272300032850,1,Pekayon Jaya,17148,Tanah Raja,97713,REG23,2,,,
40106,TRD2023010605378,0733272300032876,1,Pekayon Jaya,17148,Ansudu II (Srem),99371,REG23,6,,,
40107,TRD2023010605380,0733272300032959,1,Pekayon Jaya,17148,Tuada,97752,REG23,5,,,
40108,TRD2023010605383,0733272300032975,1,Pekayon Jaya,17148,Tanah Raja,97713,REG23,2,,,
40109,TRD2023010606044,2534902300010798,1,Bunigeulis,45556,Tasuk,77352,REG23,5,,,
40110,TRD2023010606045,2534902300010772,1,Bunigeulis,45556,Telang Makmur,30974,REG23,4,,,
40111,TRD2023010606056,2534902300010897,1,Bunigeulis,45556,Kayu Putih,85228,REG23,2,,,
40112,TRD2023010606061,2534902300010962,1,Bunigeulis,45556,Suka Makmur,24782,REG23,3,,,
40113,TRD2023010606064,2534902300011028,1,Bunigeulis,45556,Bahomakmur,94974,REG23,5,,,
40114,TRD2023010606069,2534902300010970,1,Bunigeulis,45556,Bakti Negara,34761,REG23,5,,,
40115,TRD2023010606073,2534902300011077,1,Bunigeulis,45556,Kebon Bawang,14320,REG23,1,,,
40116,TRD2023010606074,2534902300011044,1,Bunigeulis,45556,Rulung Herok/Helok,35362,REG23,5,,,
40117,TRD2023010606811,2534902300011143,1,Bunigeulis,45556,Amban,98314,REG23,4,,,
40118,TRD2023010606819,2534902300011259,1,Bunigeulis,45556,Mbuwa,99910,REG23,6,,,
40119,TRD2023010606822,2534902300011291,1,Bunigeulis,45556,Mbuwa,99910,REG23,6,,,
40120,TRD2023010606832,2534902300011325,1,Bunigeulis,45556,Dusun Bangko,37313,REG23,3,,,
40121,TRD2023010607401,2534902300011390,1,Bunigeulis,45556,Kayu Putih,85228,REG23,2,,,
40122,TRD2023010607492,0733272300033122,1,Pekayon Jaya,17148,Karangmalang,50216,REG23,1,,,
40123,TRD2023010607499,0733272300033163,1,Pekayon Jaya,17148,Cipulus,45466,REG23,3,,,
40124,TRD2023010607511,0733272300033353,1,Pekayon Jaya,17148,Aplasi,85614,REG23,3,,,
40125,TRD2023010607554,0733272300033486,1,Pekayon Jaya,17148,Delod Peken,82121,REG23,3,,,
40126,TRD2023010607578,0733272300033601,1,Pekayon Jaya,17148,Taa,84261,REG23,1,10,,
40127,TRD2023010607580,0733272300033643,1,Pekayon Jaya,17148,So E (Soe),85519,REG23,3,,,
40128,TRD2023010607587,0733272300033999,1,Pekayon Jaya,17148,Pampang,90231,REG23,2,,,
40129,TRD2023010607594,0733272300034112,1,Pekayon Jaya,17148,Suka Mulya,78561,REG23,5,,,
40130,TRD2023010607599,0733272300034294,1,Pekayon Jaya,17148,Ahusen,97127,REG23,2,,,
40131,TRD2023010607605,0733272300034385,1,Pekayon Jaya,17148,Mbongawani,86313,REG23,5,,,
40132,TRD2023010607612,0733272300033775,1,Pekayon Jaya,17148,Amban,98314,REG23,4,,,
40133,TRD2023010607616,0733272300033841,1,Pekayon Jaya,17148,Motoboi Besar,95719,REG23,3,,,
40134,TRD2023010607617,0733272300034120,1,Pekayon Jaya,17148,Tanah Pilih,30971,REG23,3,,,
40135,TRD2023010607620,0733272300033833,1,Pekayon Jaya,17148,Tasuk,77352,REG23,5,,,
40136,TRD2023010607621,0733272300034211,1,Pekayon Jaya,17148,Panjer,80225,REG23,1,,,
40137,TRD2023010607622,0733272300033817,1,Pekayon Jaya,17148,Motoboi Besar,95719,REG23,3,,,
40138,TRD2023010607630,0733272300034070,1,Pekayon Jaya,17148,Enonapi,85575,REG23,5,,,
40139,TRD2023010607633,0733272300034476,1,Pekayon Jaya,17148,Wowom,98363,REG23,6,,,
40140,TRD2023010607634,0733272300034054,1,Pekayon Jaya,17148,Amban,98314,REG23,4,,,
40141,TRD2023010607647,0733272300034310,1,Pekayon Jaya,17148,Bara-Baraya Timur,90143,REG23,2,,,
40142,TRD2023010607648,0733272300034153,1,Pekayon Jaya,17148,Rumah Tiga,97234,REG23,5,,,
40143,TRD2023010607656,0733272300033924,1,Pekayon Jaya,17148,Ahusen,97127,REG23,2,,,
40144,TRD2023010607666,0733272300033916,1,Pekayon Jaya,17148,Bira,90243,REG23,2,,,
40145,TRD2023010607722,0733272300035028,1,Pekayon Jaya,17148,Sungai Aro,37572,REG23,3,,,
40146,TRD2023010607726,0733272300034567,1,Pekayon Jaya,17148,Merbau II (Merbou Dua),24452,REG23,3,,,
40147,TRD2023010607727,0733272300034591,1,Pekayon Jaya,17148,Karya Ambalutu,96266,REG23,3,,,
40148,TRD2023010607730,0733272300034534,1,Pekayon Jaya,17148,Lamaru,76117,REG23,1,,,
40149,TRD2023010607733,0733272300034583,1,Pekayon Jaya,17148,Pelari,73862,REG23,5,,,
40150,TRD2023010607738,0733272300034955,1,Pekayon Jaya,17148,Kayu Agung,15520,REG23,1,,,
40151,TRD2023010607739,0733272300035069,1,Pekayon Jaya,17148,Triharjo,55761,REG23,2,,,
40152,TRD2023010607748,0733272300034690,1,Pekayon Jaya,17148,Pengadegan,12770,REG23,1,,,
40153,TRD2023010607753,0733272300034666,1,Pekayon Jaya,17148,Warandete,93463,REG23,5,,,
40154,TRD2023010607767,0733272300035036,1,Pekayon Jaya,17148,Tasuk,77352,REG23,5,,,
40155,TRD2023010607768,0733272300035077,1,Pekayon Jaya,17148,Sei/Sungai Mata Mata,78853,REG23,5,,,
40156,TRD2023010607769,0733272300034625,1,Pekayon Jaya,17148,Ciomas Rahayu,16610,REG23,1,,,
40157,TRD2023010607774,0733272300034815,1,Pekayon Jaya,17148,Dadok Tunggul Hitam,25176,REG23,1,,,
40158,TRD2023010607779,0733272300034849,1,Pekayon Jaya,17148,Benteng Sawitto,91215,REG23,5,,,
40159,TRD2023010703168,0733272300035309,1,Pekayon Jaya,17148,Ragajaya,16920,REG23,1,,,
40160,TRD2023010703173,0733272300035259,1,Pekayon Jaya,17148,Malinau Hulu,77554,REG23,3,,,
40161,TRD2023010703187,0733272300035374,1,Pekayon Jaya,17148,Banjar Kejen,67156,REG23,1,,,
40162,TRD2023010703199,0733272300035499,1,Pekayon Jaya,17148,Paya Baru,24471,REG23,3,,,
40163,TRD2023010705293,0434532300007356,1,A M P L A S,20148,Meunasah Manyang Pagar Air,23371,REG23,5,,,
40164,TRD2023010705298,0434532300007422,1,A M P L A S,20148,Sei Tarolat,21471,REG23,1,,,
40165,TRD2023010705300,0434532300007505,1,A M P L A S,20148,Luthu Lamweu,23361,REG23,5,,,
40166,TRD2023010705302,0434532300007562,1,A M P L A S,20148,Hatapang,21454,REG23,1,,,
40167,TRD2023010705307,0434532300007497,1,A M P L A S,20148,Perjuangan,22873,REG23,5,,,
40168,TRD2023010705314,0434532300007620,1,A M P L A S,20148,Bandar Siantar,21174,REG23,1,,,
40169,TRD2023010705315,0434532300007653,1,A M P L A S,20148,Neusu Aceh,23244,REG23,2,,,
40170,TRD2023010705329,0930842300007853,1,Sukodadi,30154,Telukkulbi,36555,REG23,3,,,
40171,TRD2023010705331,0930842300007887,1,Sukodadi,30154,Aur Gading,37481,REG23,2,,,
40172,TRD2023010705366,0532932300007920,1,Kerobokan Kelod,80117,Mekar Bhuwana,80352,REG23,2,,,
40173,TRD2023010705367,0532932300007946,1,Kerobokan Kelod,80117,Padangbulia,81161,REG23,2,,,
40174,TRD2023010705387,0532932300008076,1,Kerobokan Kelod,80117,Haikatapu (Heikatapu),87181,REG23,1,10,,
40175,TRD2023010705393,0532932300008134,1,Kerobokan Kelod,80117,Kayu Putih,85228,REG23,1,,,
40176,TRD2023010705407,0532932300008407,1,Kerobokan Kelod,80117,Narasaosina,86261,REG23,5,,,
40177,TRD2023010705413,0532932300008845,1,Kerobokan Kelod,80117,Kayu Putih,85228,REG23,1,,,
40178,TRD2023010705428,0532932300008993,1,Kerobokan Kelod,80117,Penkase Oeleta,85231,REG23,1,,,
40179,TRD2023010705430,0532932300008936,1,Kerobokan Kelod,80117,Penkase Oeleta,85231,REG23,1,,,
40180,TRD2023010705451,0532932300008563,1,Kerobokan Kelod,80117,Embu Ngena,86319,REG23,2,,,
40181,TRD2023010705457,0532932300008522,1,Kerobokan Kelod,80117,Beja,86413,REG23,2,,,
40182,TRD2023010705459,0532932300008571,1,Kerobokan Kelod,80117,Mataram Timur,83121,REG23,1,,,
40183,TRD2023010705463,0532932300008548,1,Kerobokan Kelod,80117,Embu Ngena,86319,REG23,2,,,
40184,TRD2023010705469,0532932300008902,1,Kerobokan Kelod,80117,Pejeng Klod (Kelod),80552,REG23,2,,,
40185,TRD2023010705470,0532932300008829,1,Kerobokan Kelod,80117,Kalimbu Tilu,87253,REG23,1,10,,
40186,TRD2023010705479,4727892300008665,1,Rintis,28155,Tri Manunggal,28464,REG23,3,,,
40187,TRD2023010705480,4727892300008442,1,Rintis,28155,Teluk Sono,28559,REG23,3,,,
40188,TRD2023010705481,4727892300008400,1,Rintis,28155,Sidomukti,28382,REG23,3,,,
40189,TRD2023010705490,4727892300008624,1,Rintis,28155,Indarung,25237,REG23,1,,,
40190,TRD2023010705492,4727892300008707,1,Rintis,28155,Dadok Tunggul Hitam,25176,REG23,1,,,
40191,TRD2023010705500,4727892300008657,1,Rintis,28155,Teluk Bayur/Taluak Bayua,25217,REG23,1,,,
40192,TRD2023010705512,0434532300007737,1,A M P L A S,20148,Simarancar,22765,REG23,1,,,
40193,TRD2023010705514,0434532300007703,1,A M P L A S,20148,Tanjung Mancang,24477,REG23,5,,,
40194,TRD2023010705521,0434532300007752,1,A M P L A S,20148,Perkebunan Afdeling II Rantau Prapat,21411,REG23,1,,,
40195,TRD2023010705522,0434532300007828,1,A M P L A S,20148,Rimokayu,22154,REG23,1,,,
40196,TRD2023010705528,0434532300007836,1,A M P L A S,20148,Blang Jerango,24655,REG23,5,,,
40197,TRD2023010705529,0434532300007935,1,A M P L A S,20148,Sei Tarolat,21471,REG23,1,,,
40198,TRD2023010705533,0434532300007927,1,A M P L A S,20148,Medan Sinembah,20362,REG23,1,,,
40199,TRD2023010705539,0434532300008099,1,A M P L A S,20148,Perkebunan Tunggul 45,21273,REG23,1,,,
40200,TRD2023010705543,0434532300008073,1,A M P L A S,20148,Padang Maninjau,21455,REG23,1,,,
40201,TRD2023010705548,0434532300007844,1,A M P L A S,20148,Batu Lokong,20585,REG23,1,,,
40202,TRD2023010705549,0434532300008503,1,A M P L A S,20148,Bawolowalani,22865,REG23,5,,,
40203,TRD2023010705563,0434532300007984,1,A M P L A S,20148,Lae Monong,22565,REG23,1,,,
40204,TRD2023010705581,0434532300008842,1,A M P L A S,20148,Balimbing,22753,REG23,1,,,
40205,TRD2023010705590,0434532300008370,1,A M P L A S,20148,Hudopa Nauli,22562,REG23,1,,,
40206,TRD2023010705593,0434532300008628,1,A M P L A S,20148,Suka Makmur,24782,REG23,3,,,
40207,TRD2023010705594,0434532300008768,1,A M P L A S,20148,Pohan Jae,22474,REG23,1,,,
40208,TRD2023010705595,0434532300008396,1,A M P L A S,20148,Pasar VI Natal,22987,REG23,1,,,
40209,TRD2023010705598,0434532300008727,1,A M P L A S,20148,Suka Makmur,24782,REG23,3,,,
40210,TRD2023010705604,0434532300008305,1,A M P L A S,20148,Lauke,23894,REG23,1,10,,
40211,TRD2023010705605,0434532300008784,1,A M P L A S,20148,Ujung Padang,23757,REG23,5,,,
40212,TRD2023010705618,0434532300008602,1,A M P L A S,20148,Pasar VI Natal,22987,REG23,1,,,
40213,TRD2023010705624,0434532300008586,1,A M P L A S,20148,Jambo/Jambu Rambong,24478,REG23,5,,,
40214,TRD2023010705626,0434532300008636,1,A M P L A S,20148,Perkebunan Tunggul 45,21273,REG23,1,,,
40215,TRD2023010705632,0733272300035713,1,Pekayon Jaya,17148,Amban,98314,REG23,4,,,
40216,TRD2023010705634,0733272300035721,1,Pekayon Jaya,17148,Sawai Itepo,97853,REG23,5,,,
40217,TRD2023010705644,0733272300035911,1,Pekayon Jaya,17148,Dgandasuli (Gandasuli),97791,REG23,5,,,
40218,TRD2023010705645,0733272300035929,1,Pekayon Jaya,17148,Ahusen,97127,REG23,2,,,
40219,TRD2023010705646,0733272300035788,1,Pekayon Jaya,17148,Tanah Raja,97713,REG23,2,,,
40220,TRD2023010705650,0733272300035804,1,Pekayon Jaya,17148,Sabatai Tua,97771,REG23,1,10,,
40221,TRD2023010705653,0733272300035861,1,Pekayon Jaya,17148,Sawai Itepo,97853,REG23,5,,,
40222,TRD2023010705661,2534902300011648,1,Bunigeulis,45556,Kuler (Tunas Baru),99616,REG23,6,,,
40223,TRD2023010705662,2534902300011655,1,Bunigeulis,45556,Ardipura,99223,REG23,2,,,
40224,TRD2023010705664,2534902300011739,1,Bunigeulis,45556,Holmafen (Holmafem),99373,REG23,6,,,
40225,TRD2023010705665,2534902300011705,1,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,REG23,2,,,
40226,TRD2023010705673,2534902300011796,1,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,REG23,2,,,
40227,TRD2023010705674,2534902300011838,1,Bunigeulis,45556,Ureifasei Satu (I),98261,REG23,1,10,,
40228,TRD2023010705677,2534902300011887,1,Bunigeulis,45556,Kwadeware (Kanda),99358,REG23,4,,,
40229,TRD2023010705678,2534902300011713,1,Bunigeulis,45556,Sereh,99352,REG23,4,,,
40230,TRD2023010705679,2534902300011747,1,Bunigeulis,45556,Mbuwa,99910,REG23,6,,,
40231,TRD2023010705681,2534902300011861,1,Bunigeulis,45556,Kwadeware (Kanda),99358,REG23,4,,,
40232,TRD2023010705683,2534902300011853,1,Bunigeulis,45556,Ardipura,99223,REG23,2,,,
40233,TRD2023010705703,0930842300008430,1,Sukodadi,30154,Paal Lima,36128,REG23,1,,,
40234,TRD2023010705722,0930842300009149,1,Sukodadi,30154,Napal Sisik,36611,REG23,2,,,
40235,TRD2023010705725,0930842300008729,1,Sukodadi,30154,Rantau Kermas,37372,REG23,1,10,,
40236,TRD2023010705727,0930842300008455,1,Sukodadi,30154,Sialang,37352,REG23,3,,,
40237,TRD2023010705728,0930842300009099,1,Sukodadi,30154,Dusun Bangko,37313,REG23,2,,,
40238,TRD2023010705743,0930842300009057,1,Sukodadi,30154,Batu Kucing,37491,REG23,3,,,
40239,TRD2023010705754,0930842300008992,1,Sukodadi,30154,Napal Sisik,36611,REG23,2,,,
40240,TRD2023010705761,0930842300009073,1,Sukodadi,30154,Padang Mulia,33681,REG23,2,,,
40241,TRD2023010705762,0930842300008588,1,Sukodadi,30154,Padang Mulia,33681,REG23,2,,,
40242,TRD2023010705774,0930842300008554,1,Sukodadi,30154,Pahlawan Belui,37161,REG23,3,,,
40243,TRD2023010705781,0930842300009032,1,Sukodadi,30154,Toba/Tuba,34385,REG23,3,,,
40244,TRD2023010705783,0930842300008489,1,Sukodadi,30154,Penyandingan,30661,REG23,3,,,
40245,TRD2023010705802,4727892300008731,1,Rintis,28155,Payung Sekaki,28558,REG23,3,,,
40246,TRD2023010705805,4727892300008780,1,Rintis,28155,Patam Lestari,29427,REG23,2,,,
40247,TRD2023010705812,4727892300009119,1,Rintis,28155,Sungai Teritip,29255,REG23,1,10,,
40248,TRD2023010705820,4727892300008996,1,Rintis,28155,Aia Manggih,26318,REG23,2,,,
40249,TRD2023010705821,4727892300008988,1,Rintis,28155,Buliang,29438,REG23,2,,,
40250,TRD2023010705824,4727892300009010,1,Rintis,28155,Sungai Pelunggut,29425,REG23,2,,,
40251,TRD2023010705826,4727892300009069,1,Rintis,28155,Laboi Jaya,28463,REG23,3,,,
40252,TRD2023010705830,4727892300008897,1,Rintis,28155,Pematang Pudu,28784,REG23,3,,,
40253,TRD2023010705831,4727892300009234,1,Rintis,28155,Batuhampar Selatan,25654,REG23,5,,,
40254,TRD2023010705833,4727892300009242,1,Rintis,28155,Jaho,27151,REG23,5,,,
40255,TRD2023010705848,4727892300009697,1,Rintis,28155,Simandolak,29566,REG23,3,,,
40256,TRD2023010705853,4727892300009549,1,Rintis,28155,Pauh Sangik,26252,REG23,5,,,
40257,TRD2023010705880,4727892300009473,1,Rintis,28155,Balam Sempurna Kota,28992,REG23,3,,,
40258,TRD2023010705888,4727892300009275,1,Rintis,28155,Danau Baru,29351,REG23,3,,,
40259,TRD2023010705892,4727892300009580,1,Rintis,28155,Teluk Sono,28559,REG23,3,,,
40260,TRD2023010705894,4727892300009507,1,Rintis,28155,Pasar Baru,29561,REG23,3,,,
