No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,rate_code,min_sla_api,max_sla_api
10376,TRD2022082907383,JNE,45556,98314,2534902200470035,REG23,,
10630,TRD2022083003540,JNE,45556,98314,2534902200480091,REG23,,
10690,TRD2022083004610,JNE,45556,98314,2534902200484242,REG23,,
10772,TRD2022083006648,JNE,45556,98362,2534902200488052,REG23,,
10864,TRD2022083100964,JNE,45556,98314,2534902200491650,REG23,,
11049,TRD2022090101188,JNE,17147,98314,0733272200059110,REG23,,
11530,TRD2022090300486,JNE,17148,98314,0733272200085883,REG23,,
11663,TRD2022090301904,JNE,17148,98314,0733272200094653,REG23,,
11921,TRD2022090502297,JNE,45556,98314,2534902200518866,REG23,,
11976,TRD2022090503717,JNE,17148,98314,0733272200114709,REG23,,
12253,TRD2022090602201,JNE,45556,98314,2534902200528683,REG23,,
12284,TRD2022090602521,JNE,17148,98314,0733272200137775,REG23,,
12442,TRD2022090603823,JNE,45556,98314,2534902200533394,REG23,,
12737,TRD2022090800727,JNE,17148,98352,0733272200160058,REG23,,
12837,TRD2022090802342,JNE,17148,98354,0733272200165511,REG23,,
13010,TRD2022090901504,JNE,17148,98352,0733272200174430,REG23,,
13239,TRD2022091001013,JNE,17148,98356,0733272200186798,REG23,,
13517,TRD2022091003464,JNE,45556,98314,2534902200554705,REG23,,
13862,TRD2022091204256,JNE,17148,98314,0733272200224946,REG23,,
14181,TRD2022091207554,JNE,17148,98356,0733272200238417,REG23,,
14709,TRD2022091402497,JNE,17148,98314,0733272200265436,REG23,,
14746,TRD2022091402867,JNE,17148,98314,0733272200269263,REG23,,
14783,TRD2022091403176,JNE,17148,98314,0733272200271178,REG23,,
14881,TRD2022091500702,JNE,17148,98315,0733272200276078,REG23,,
14993,TRD2022091502086,JNE,17148,98314,0733272200278710,REG23,,
15505,TRD2022091603373,JNE,17148,98356,0733272200307030,REG23,,
15511,TRD2022091603426,JNE,17148,98314,0733272200307642,REG23,,
15563,TRD2022091700819,JNE,45556,98314,2534902200618708,REG23,,
15770,TRD2022091703301,JNE,45556,98356,2534902200622528,REG23,,
15865,TRD2022091902566,JNE,17148,98314,0733272200328895,REG23,,
16547,TRD2022092003299,JNE,17148,98314,0733272200360906,REG23,,
16709,TRD2022092102488,JNE,17148,98314,0733272200373818,REG23,,
16848,TRD2022092200348,JNE,17148,73111,0733272200376878,REG23,,
17311,TRD2022092302303,JNE,17148,98315,0733272200400405,REG23,,
17313,TRD2022092302309,JNE,17148,98314,0733272200400504,REG23,,
17314,TRD2022092302321,JNE,17148,98314,0733272200400462,REG23,,
17430,TRD2022092401274,JNE,17148,98314,0733272200407038,REG23,,
17432,TRD2022092401283,JNE,17148,98315,0733272200409075,REG23,,
17764,TRD2022092601746,JNE,17148,98315,0733272200425576,REG23,,
17778,TRD2022092601784,JNE,17148,98314,0733272200425972,REG23,,
17821,TRD2022092602048,JNE,17148,98314,0733272200429008,REG23,,
17848,TRD2022092602195,JNE,17148,98314,0733272200429073,REG23,,
18075,TRD2022092604015,JNE,17148,98314,0733272200439858,REG23,,
18229,TRD2022092605713,JNE,17148,98314,0733272200453420,REG23,,
18548,TRD2022092701514,JNE,17148,98314,0733272200471489,REG23,,
18630,TRD2022092702528,JNE,17148,98314,0733272200476025,REG23,,
18723,TRD2022092703501,JNE,45556,98315,2534902200700183,REG23,,
19021,TRD2022092802790,JNE,17148,66229,0733272200497385,REG23,,
19026,TRD2022092802835,JNE,17148,93885,0733272200497898,REG23,,
19134,TRD2022092804109,JNE,45556,98355,2534902200709531,REG23,,
19264,TRD2022092901204,JNE,17148,98315,0733272200508371,REG23,,
19333,TRD2022092902259,JNE,17148,98355,0733272200513470,REG23,,
19622,TRD2022093000909,JNE,17148,98314,0733272200531035,REG23,,
19891,TRD2022100100873,JNE,17148,98314,0733272200545670,REG23,,
20000,TRD2022100101595,JNE,17148,98315,0733272200551090,REG23,,
16,TRD2022100101707,JNE,17148,98355,0733272200552650,REG23,,
288,TRD2022100302995,JNE,17148,98314,0733272200571460,REG23,,
746,TRD2022100501827,JNE,17148,98315,0733272200596517,REG23,,
755,TRD2022100501944,JNE,17148,98355,0733272200597689,REG23,,
784,TRD2022100502203,JNE,17148,98314,0733272200600178,REG23,,
1307,TRD2022100701983,JNE,17148,98314,0733272200630365,REG23,,
1308,TRD2022100701987,JNE,17148,98315,0733272200630423,REG23,,
1633,TRD2022100801856,JNE,17148,98355,0733272200649381,REG23,,
1824,TRD2022101002095,JNE,17148,98314,0733272200657202,REG23,,
1839,TRD2022101002171,JNE,17148,98356,0733272200657749,REG23,,
1957,TRD2022101003121,JNE,17148,98315,0733272200664588,REG23,,
2353,TRD2022101101954,JNE,17148,98315,0733272200681442,REG23,,
2607,TRD2022101201617,JNE,17148,98362,0733272200690625,REG23,,
2921,TRD2022101302120,JNE,17148,98314,0733272200704145,REG23,,
3022,TRD2022101400471,JNE,17148,98314,0733272200706355,REG23,,
3095,TRD2022101401578,JNE,45556,98355,2534902200813648,REG23,,
3147,TRD2022101500310,JNE,17148,98315,0733272200712551,REG23,,
3202,TRD2022101501344,JNE,17148,98314,0733272200716768,REG23,,
3205,TRD2022101501360,JNE,17148,98314,0733272200716594,REG23,,
3366,TRD2022101701154,JNE,17148,98314,0733272200723061,REG23,,
3392,TRD2022101703025,JNE,17148,98355,0733272200725199,REG23,,
3574,TRD2022101704289,JNE,17148,98314,0733272200734183,REG23,,
4147,TRD2022101903254,JNE,17148,98356,0733272200768405,REG23,,
4159,TRD2022101903315,JNE,17148,98314,0733272200769809,REG23,,
4247,TRD2022102001230,JNE,17148,98315,0733272200775004,REG23,,
4317,TRD2022102001698,JNE,17148,98314,0733272200778677,REG23,,
4386,TRD2022102100341,JNE,17148,98315,0733272200781739,REG23,,
4542,TRD2022102102855,JNE,17148,98314,0733272200788262,REG23,,
4634,TRD2022102201763,JNE,17148,98362,0733272200791845,REG23,,
4923,TRD2022102401694,JNE,17148,98314,0733272200803210,REG23,,
5091,TRD2022102403455,JNE,17148,98315,0733272200808128,REG23,,
5291,TRD2022102405607,JNE,17148,98356,0733272200816949,REG23,,
5305,TRD2022102500028,JNE,17148,98362,0733272200818200,REG23,,
5606,TRD2022102503771,JNE,45556,66291,2534902200860714,REG23,,
5623,TRD2022102504534,JNE,17148,98314,0733272200829199,REG23,,
5703,TRD2022102601568,JNE,17148,98314,0733272200832102,REG23,,
5706,TRD2022102601580,JNE,17148,98314,0733272200832359,REG23,,
5713,TRD2022102601608,JNE,17148,98356,0733272200832888,REG23,,
5785,TRD2022102602490,JNE,17148,98314,0733272200836947,REG23,,
5823,TRD2022102602741,JNE,17148,98314,0733272200840543,REG23,,
5918,TRD2022102700320,JNE,17148,98314,0733272200842838,REG23,,
6043,TRD2022102702119,JNE,17148,98314,0733272200849536,REG23,,
6044,TRD2022102702126,JNE,17148,98314,0733272200849593,REG23,,
6187,TRD2022102800614,JNE,17148,98315,0733272200853553,REG23,,
6977,TRD2022103107325,JNE,17148,98356,0733272200887411,REG23,,
6990,TRD2022103107391,JNE,17148,98314,0733272200888112,REG23,,
6995,TRD2022103107416,JNE,17148,98315,0733272200888344,REG23,,
7005,TRD2022103107459,JNE,17148,98314,0733272200888229,REG23,,
7006,TRD2022103107460,JNE,17148,98315,0733272200888849,REG23,,
7173,TRD2022110102667,JNE,17148,98314,0733272200895380,REG23,,
7265,TRD2022110103599,JNE,17148,98356,0733272200896685,REG23,,
7473,TRD2022110202623,JNE,17148,98314,0733272200905593,REG23,,
7604,TRD2022110204001,JNE,17148,98314,0733272200910486,REG23,,
7609,TRD2022110204016,JNE,17148,98314,0733272200910627,REG23,,
7675,TRD2022110302296,JNE,17148,98315,0733272200911484,REG23,,
7924,TRD2022110403741,JNE,17148,98314,0733272200921657,REG23,,
7929,TRD2022110403762,JNE,17148,98352,0733272200921905,REG23,,
7958,TRD2022110403980,JNE,17148,98314,0733272200923513,REG23,,
8096,TRD2022110501769,JNE,17148,98314,0733272200926847,REG23,,
8169,TRD2022110503452,JNE,17148,98356,0733272200929163,REG23,,
8418,TRD2022110702167,JNE,45556,98314,2534902200924775,REG23,,
8533,TRD2022110705012,JNE,17148,98362,0733272200940947,REG23,,
8610,TRD2022110705347,JNE,17148,98314,0733272200943834,REG23,,
8898,TRD2022110803363,JNE,17148,98356,0733272200955184,REG23,,
9085,TRD2022110902671,JNE,17148,98354,0733272200960655,REG23,,
9139,TRD2022110902964,JNE,17148,98362,0733272200963485,REG23,,
9143,TRD2022110902975,JNE,17148,98314,0733272200963709,REG23,,
9163,TRD2022110903111,JNE,17148,98355,0733272200965837,REG23,,
9301,TRD2022111001575,JNE,17148,98314,0733272200968948,REG23,,
9306,TRD2022111001598,JNE,17148,98314,0733272200969409,REG23,,
9364,TRD2022111002037,JNE,45556,66229,2534902200938825,REG23,,
9548,TRD2022111102508,JNE,17148,98362,0733272200979879,REG23,,
9553,TRD2022111102527,JNE,17148,98314,0733272200980067,REG23,,
9583,TRD2022111102681,JNE,17148,98315,0733272200980927,REG23,,
9600,TRD2022111102733,JNE,17148,98314,0733272200981487,REG23,,
9728,TRD2022111202383,JNE,17148,98362,0733272200987161,REG23,,
9731,TRD2022111202417,JNE,17148,98314,0733272200987807,REG23,,
9756,TRD2022111202688,JNE,17148,98314,0733272200988839,REG23,,
9757,TRD2022111202689,JNE,17148,98362,0733272200988813,REG23,,
9761,TRD2022111202702,JNE,17148,98314,0733272200988953,REG23,,
9771,TRD2022111202739,JNE,17148,98352,0733272200989373,REG23,,
9781,TRD2022111202779,JNE,17148,98314,0733272200989654,REG23,,
9860,TRD2022111402270,JNE,17148,98315,0733272200991619,REG23,,
9874,TRD2022111402359,JNE,17148,98314,0733272200991411,REG23,,
9879,TRD2022111402370,JNE,17148,98314,0733272200991312,REG23,,
9884,TRD2022111402393,JNE,17148,98314,0733272200991841,REG23,,
9940,TRD2022111404506,JNE,45556,98355,2534902200945176,REG23,,
9945,TRD2022111404560,JNE,45556,98314,2534902200945747,REG23,,
9952,TRD2022111404594,JNE,45556,98315,2534902200946141,REG23,,
9967,TRD2022111404657,JNE,45556,98315,2534902200946638,REG23,,
9994,TRD2022111405087,JNE,17148,98314,0733272200997749,REG23,,
10084,TRD2022111501175,JNE,17148,98362,0733272201002523,REG23,,
10109,TRD2022111501352,JNE,17148,98314,0733272201004057,REG23,,
10162,TRD2022111502406,JNE,17148,98314,0733272201007597,REG23,,
10179,TRD2022111502477,JNE,17148,98314,0733272201007928,REG23,,
10254,TRD2022111601694,JNE,17148,98314,0733272201012050,REG23,,
10328,TRD2022111602927,JNE,17148,98314,0733272201016598,REG23,,
10429,TRD2022111701528,JNE,17148,98315,0733272201020582,REG23,,
10438,TRD2022111701564,JNE,17148,98315,0733272201020319,REG23,,
10461,TRD2022111701689,JNE,45556,98355,2534902200949178,REG23,,
10466,TRD2022111701774,JNE,17148,98314,0733272201021945,REG23,,
10490,TRD2022111702305,JNE,17148,98314,0733272201023065,REG23,,
10545,TRD2022111801328,JNE,17148,98314,0733272201027454,REG23,,
10548,TRD2022111801349,JNE,17148,98315,0733272201027603,REG23,,
10564,TRD2022111801508,JNE,17148,98315,0733272201029211,REG23,,
10622,TRD2022111802049,JNE,17148,98363,0733272201031209,REG23,,
10637,TRD2022111802538,JNE,45556,98356,2534902200950267,REG23,,
10701,TRD2022111902137,JNE,17148,98362,0733272201036109,REG23,,
10755,TRD2022111902972,JNE,17148,98314,0733272201037990,REG23,,
10901,TRD2022112102474,JNE,11450,98314,0136932200408418,REG23,,
10939,TRD2022112103791,JNE,17148,98314,0733272201043725,REG23,,
10941,TRD2022112103798,JNE,17148,98314,0733272201043790,REG23,,
10967,TRD2022112103914,JNE,17148,98363,0733272201045050,REG23,,
11007,TRD2022112104235,JNE,17148,98356,0733272201046421,REG23,,
11137,TRD2022112201366,JNE,17148,98353,0733272201052775,REG23,,
11325,TRD2022112302157,JNE,11450,98315,0136932200412980,REG23,,
11362,TRD2022112302417,JNE,17148,98314,0733272201062584,REG23,,
11369,TRD2022112302437,JNE,17148,98314,0733272201062782,REG23,,
11444,TRD2022112401819,JNE,17148,98314,0733272201067393,REG23,,
11485,TRD2022112402126,JNE,17148,98315,0733272201067773,REG23,,
11501,TRD2022112402377,JNE,17148,98314,0733272201067989,REG23,,
11505,TRD2022112402396,JNE,17148,98315,0733272201068235,REG23,,
11519,TRD2022112402891,JNE,17148,98356,0733272201069373,REG23,,
11598,TRD2022112501474,JNE,17148,98362,0733272201072427,REG23,,
11681,TRD2022112502327,JNE,17148,98315,0733272201076667,REG23,,
11694,TRD2022112502369,JNE,17148,98314,0733272201076998,REG23,,
11698,TRD2022112502396,JNE,17148,98315,0733272201077301,REG23,,
11700,TRD2022112502408,JNE,17148,98314,0733272201077483,REG23,,
11752,TRD2022112601572,JNE,17148,98315,0733272201080461,REG23,,
11775,TRD2022112602105,JNE,17148,98314,0733272201081295,REG23,,
11822,TRD2022112602397,JNE,17148,98314,0733272201083044,REG23,,
11823,TRD2022112602398,JNE,17148,98315,0733272201083572,REG23,,
11826,TRD2022112602453,JNE,17148,98315,0733272201083846,REG23,,
11855,TRD2022112801986,JNE,17148,98314,0733272201085833,REG23,,
11881,TRD2022112802129,JNE,17148,98314,0733272201087201,REG23,,
11890,TRD2022112802164,JNE,17148,98315,0733272201087607,REG23,,
11911,TRD2022112802430,JNE,11450,98314,0136932200423078,REG23,,
12076,TRD2022112804948,JNE,17148,98314,0733272201094199,REG23,,
12085,TRD2022112804986,JNE,17148,98353,0733272201094538,REG23,,
12104,TRD2022112805060,JNE,17148,98315,0733272201095378,REG23,,
12196,TRD2022112805576,JNE,17148,98314,0733272201101044,REG23,,
12220,TRD2022112805690,JNE,17148,98314,0733272201100160,REG23,,
12221,TRD2022112805692,JNE,17148,98314,0733272201100442,REG23,,
12223,TRD2022112805697,JNE,17148,98355,0733272201101002,REG23,,
12226,TRD2022112805705,JNE,17148,98314,0733272201100343,REG23,,
12331,TRD2022112902742,JNE,17148,98315,0733272201104824,REG23,,
12345,TRD2022112902886,JNE,17148,98362,0733272201105334,REG23,,
12348,TRD2022112902947,JNE,17148,98356,0733272201105490,REG23,,
12362,TRD2022112903226,JNE,17148,98314,0733272201106159,REG23,,
12390,TRD2022113001326,JNE,17148,98314,0733272201108353,REG23,,
12403,TRD2022113001428,JNE,17148,98314,0733272201109260,REG23,,
12485,TRD2022113002222,JNE,17148,98315,0733272201111175,REG23,,
12507,TRD2022113002676,JNE,17148,98356,0733272201112793,REG23,,
12583,TRD2022120101704,JNE,17148,98315,0733272201115754,REG23,,
12589,TRD2022120101725,JNE,17148,98314,0733272201116000,REG23,,
12651,TRD2022120102055,JNE,17148,98314,0733272201117313,REG23,,
12690,TRD2022120102900,JNE,17148,98314,0733272201119491,REG23,,
12692,TRD2022120102902,JNE,17148,98314,0733272201119418,REG23,,
12778,TRD2022120201101,JNE,11450,98314,0136932200434679,REG23,,
12818,TRD2022120201472,JNE,17148,98314,0733272201124848,REG23,,
12834,TRD2022120201535,JNE,17148,98314,0733272201124673,REG23,,
12850,TRD2022120201591,JNE,17148,98314,0733272201125209,REG23,,
12873,TRD2022120201671,JNE,17148,98315,0733272201125928,REG23,,
12926,TRD2022120202671,JNE,17148,98419,0733272201129599,REG23,,
12994,TRD2022120301563,JNE,17148,98315,0733272201131801,REG23,,
13013,TRD2022120301725,JNE,17148,98314,0733272201132858,REG23,,
13019,TRD2022120301750,JNE,17148,98314,0733272201133286,REG23,,
13062,TRD2022120301986,JNE,11450,98314,0136932200436427,REG23,,
13066,TRD2022120302007,JNE,11450,98314,0136932200436625,REG23,,
13126,TRD2022120302481,JNE,17148,98362,0733272201137477,REG23,,
13281,TRD2022120502946,JNE,17148,98314,0733272201140976,REG23,,
13292,TRD2022120507134,JNE,17148,98314,0733272201142105,REG23,,
13322,TRD2022120507221,JNE,17148,98355,0733272201142915,REG23,,
13334,TRD2022120507265,JNE,17148,98352,0733272201143947,REG23,,
13336,TRD2022120507278,JNE,17148,98362,0733272201144002,REG23,,
13358,TRD2022120507357,JNE,17148,98315,0733272201144275,REG23,,
13365,TRD2022120507388,JNE,17148,98314,0733272201144630,REG23,,
13372,TRD2022120507406,JNE,17148,98352,0733272201144986,REG23,,
13392,TRD2022120507490,JNE,17148,98314,0733272201145546,REG23,,
13399,TRD2022120507516,JNE,17148,98314,0733272201146270,REG23,,
13401,TRD2022120507522,JNE,17148,98314,0733272201146098,REG23,,
13407,TRD2022120507542,JNE,17148,98315,0733272201146031,REG23,,
13492,TRD2022120603590,JNE,17148,98314,0733272201149936,REG23,,
13515,TRD2022120603717,JNE,17148,66229,0733272201150199,REG23,,
13558,TRD2022120604293,JNE,17148,98315,0733272201151866,REG23,,
13569,TRD2022120604360,JNE,17148,98314,0733272201152633,REG23,,
13575,TRD2022120604398,JNE,17148,98315,0733272201153003,REG23,,
13576,TRD2022120604407,JNE,17148,98314,0733272201153144,REG23,,
13595,TRD2022120604485,JNE,17148,98314,0733272201155040,REG23,,
13600,TRD2022120604506,JNE,17148,98314,0733272201155511,REG23,,
13691,TRD2022120701680,JNE,17148,98362,0733272201158572,REG23,,
13743,TRD2022120701948,JNE,11450,98362,0136932200442482,REG23,,
13953,TRD2022120802448,JNE,17148,98314,0733272201168126,REG23,,
13954,TRD2022120802450,JNE,17148,98315,0733272201168761,REG23,,
13961,TRD2022120802471,JNE,17148,98315,0733272201168209,REG23,,
13970,TRD2022120802499,JNE,17148,98356,0733272201168423,REG23,,
14023,TRD2022120803641,JNE,17148,98314,0733272201171922,REG23,,
14052,TRD2022120902373,JNE,17148,98314,0733272201173688,REG23,,
14131,TRD2022120902927,JNE,17148,98315,0733272201175717,REG23,,
14142,TRD2022120902966,JNE,17148,98314,0733272201175675,REG23,,
14145,TRD2022120903100,JNE,17148,98314,0733272201175840,REG23,,
14617,TRD2022121303050,JNE,17148,98314,0733272201193801,REG23,,
14646,TRD2022121303289,JNE,17148,98314,0733272201194353,REG23,,
14671,TRD2022121303460,JNE,17148,98314,0733272201195269,REG23,,
14726,TRD2022121304524,JNE,17148,98314,0733272201196358,REG23,,
14806,TRD2022121402308,JNE,17148,98356,0733272201199113,REG23,,
14810,TRD2022121402335,JNE,17148,98314,0733272201199253,REG23,,
14887,TRD2022121403354,JNE,17148,98314,0733272201201547,REG23,,
14888,TRD2022121403359,JNE,17148,98314,0733272201201489,REG23,,
14957,TRD2022121503434,JNE,11450,98362,0136932200457050,REG23,,
14971,TRD2022121503467,JNE,11450,98314,0136932200457365,REG23,,
15012,TRD2022121503620,JNE,17148,98361,0733272201204129,REG23,,
15025,TRD2022121504304,JNE,45556,98356,2534902200968079,REG23,,
15037,TRD2022121504538,JNE,17148,98314,0733272201205209,REG23,,
15040,TRD2022121504545,JNE,17148,98314,0733272201205266,REG23,,
15041,TRD2022121504547,JNE,17148,98356,0733272201205688,REG23,,
15048,TRD2022121504571,JNE,17148,98355,0733272201205639,REG23,,
15121,TRD2022121602745,JNE,17148,98314,0733272201206504,REG23,,
15163,TRD2022121603107,JNE,17148,98315,0733272201207981,REG23,,
15211,TRD2022121604651,JNE,17148,98314,0733272201210019,REG23,,
15213,TRD2022121604663,JNE,17148,98314,0733272201210142,REG23,,
15234,TRD2022121604986,JNE,11450,98315,0136932200464536,REG23,,
15259,TRD2022121605064,JNE,11450,98314,0136932200465061,REG23,,
15280,TRD2022121605129,JNE,11450,98315,0136932200465707,REG23,,
15285,TRD2022121605137,JNE,11450,98315,0136932200465608,REG23,,
15295,TRD2022121605158,JNE,11450,98314,0136932200465947,REG23,,
15328,TRD2022121605291,JNE,11450,98362,0136932200467588,REG23,,
15499,TRD2022121904405,JNE,17148,98355,0733272201217022,REG23,,
15529,TRD2022121904495,JNE,17148,98314,0733272201217915,REG23,,
15601,TRD2022121905292,JNE,17148,98355,0733272201219903,REG23,,
15619,TRD2022121905359,JNE,17148,98315,0733272201220570,REG23,,
15706,TRD2022121905660,JNE,11450,98315,0136932200471267,REG23,,
15710,TRD2022121905675,JNE,11450,98314,0136932200471416,REG23,,
15747,TRD2022121905764,JNE,17148,98362,0733272201223194,REG23,,
15771,TRD2022121905866,JNE,17148,98314,0733272201223939,REG23,,
15996,TRD2022122001652,JNE,45556,98314,2534902200977450,REG23,,
16110,TRD2022122202502,JNE,17148,98314,0733272201225900,REG23,,
16137,TRD2022122202614,JNE,17148,98356,0733272201226650,REG23,,
16148,TRD2022122202647,JNE,17148,98314,0733272201226957,REG23,,
16162,TRD2022122203137,JNE,11450,98356,0136932200477876,REG23,,
16223,TRD2022122204790,JNE,17148,98355,0733272201228698,REG23,,
16243,TRD2022122204859,JNE,17148,98314,0733272201230041,REG23,,
16269,TRD2022122205002,JNE,45556,98315,2534902200979480,REG23,,
16370,TRD2022122303848,JNE,17148,98314,0733272201233474,REG23,,
16377,TRD2022122303894,JNE,17148,98314,0733272201232468,REG23,,
16412,TRD2022122304543,JNE,45556,98314,2534902200980546,REG23,,
16414,TRD2022122304546,JNE,45556,98315,2534902200980579,REG23,,
16415,TRD2022122304548,JNE,45556,98314,2534902200980603,REG23,,
16430,TRD2022122304817,JNE,17148,98314,0733272201234050,REG23,,
16492,TRD2022122403340,JNE,11450,98362,0136932200481068,REG23,,
16535,TRD2022122403523,JNE,17148,98314,0733272201236923,REG23,,
16648,TRD2022122405680,JNE,17148,98314,0733272201241022,REG23,,
16657,TRD2022122405728,JNE,17148,98352,0733272201241543,REG23,,
16660,TRD2022122405741,JNE,17148,98362,0733272201241683,REG23,,
16699,TRD2022122604863,JNE,17148,98356,0733272201242194,REG23,,
16704,TRD2022122604894,JNE,17148,98314,0733272201242509,REG23,,
16798,TRD2022122605451,JNE,17148,98314,0733272201244190,REG23,,
16816,TRD2022122605512,JNE,17148,98315,0733272201245148,REG23,,
16830,TRD2022122605596,JNE,17148,98355,0733272201245296,REG23,,
16855,TRD2022122605753,JNE,17148,98356,0733272201246062,REG23,,
16865,TRD2022122605805,JNE,17148,98314,0733272201246625,REG23,,
16947,TRD2022122606434,JNE,45556,98314,2534902200983433,REG23,,
16964,TRD2022122606470,JNE,45556,98356,2534902200983847,REG23,,
17008,TRD2022122606971,JNE,17148,98356,0733272201249868,REG23,,
17011,TRD2022122606992,JNE,17148,98315,0733272201250759,REG23,,
17066,TRD2022122704264,JNE,17148,98362,0733272201252607,REG23,,
17067,TRD2022122704265,JNE,17148,98314,0733272201252615,REG23,,
17118,TRD2022122705020,JNE,17148,98355,0733272201255261,REG23,,
17136,TRD2022122705082,JNE,17148,98355,0733272201255659,REG23,,
17140,TRD2022122705086,JNE,17148,98314,0733272201255790,REG23,,
17153,TRD2022122705108,JNE,17148,98314,0733272201256004,REG23,,
17165,TRD2022122705132,JNE,17148,98362,0733272201256756,REG23,,
17195,TRD2022122705304,JNE,17148,98355,0733272201253548,REG23,,
17237,TRD2022122705602,JNE,45556,98315,2534902200985073,REG23,,
17247,TRD2022122705799,JNE,11450,98315,0136932200486737,REG23,,
17295,TRD2022122706609,JNE,17148,98315,0733272201258570,REG23,,
17296,TRD2022122706610,JNE,17148,98314,0733272201258620,REG23,,
17333,TRD2022122803542,JNE,17148,98314,0733272201259784,REG23,,
17337,TRD2022122803561,JNE,17148,98314,0733272201259891,REG23,,
17354,TRD2022122803618,JNE,17148,98355,0733272201260360,REG23,,
17456,TRD2022122806537,JNE,17148,98315,0733272201262200,REG23,,
17471,TRD2022122806581,JNE,17148,98314,0733272201262366,REG23,,
17489,TRD2022122806639,JNE,17148,98315,0733272201262648,REG23,,
17507,TRD2022122806709,JNE,17148,98352,0733272201263364,REG23,,
