No,shipment_order_no,awb_number,weight,origin_subdistrict,origin_postal_code,destination_subdistrict,destination_postal_code,rate_code
52,TRD2022090701040,0733272200148285,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
53,TRD2022090901451,0733272200173895,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
54,TRD2022090901478,0733272200173911,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
55,TRD2022090902647,0733272200181534,1,Pekayon Jaya,17148,Burangkeng,17155,CTC23
56,TRD2022090902889,0733272200182250,1,Pekayon Jaya,17148,Burangkeng,17155,CTC23
57,TRD2022091001105,0733272200187770,1,Pekayon Jaya,17148,Burangkeng,17155,CTC23
58,TRD2022091001614,0733272200192853,1,Pekayon Jaya,17148,Jatibening,17412,CTC23
59,TRD2022091202781,0733272200211059,1,Pekayon Jaya,17148,Jatirahayu,17414,CTC23
60,TRD2022091203756,0733272200220381,1,Pekayon Jaya,17148,Bintara,17134,CTC23
61,TRD2022091203781,0733272200220639,1,Pekayon Jaya,17148,Jatibening,17412,CTC23
62,TRD2022091204050,0733272200223013,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
63,TRD2022091204100,0733272200223906,1,Pekayon Jaya,17148,Bintara,17134,CTC23
64,TRD2022091402757,0733272200267861,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
65,TRD2022091402890,0733272200269214,1,Pekayon Jaya,17148,Pantai Hurip,17610,CTC23
66,TRD2022091403034,0733272200271285,1,Pekayon Jaya,17148,Burangkeng,17155,CTC23
67,TRD2022091502529,0733272200285525,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
68,TRD2022091603273,0733272200306065,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
69,TRD2022091700598,0733272200309531,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
70,TRD2022091902292,0733272200326345,1,Pekayon Jaya,17148,Jatirasa,17424,CTC23
71,TRD2022092202892,0733272200388071,1,Pekayon Jaya,17148,Harapan Baru,17123,CTC23
72,TRD2022092403141,0733272200418670,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
73,TRD2022092600558,0733272200423647,1,Pekayon Jaya,17148,Pantai Hurip,17610,CTC23
74,TRD2022092601974,0733272200427689,1,Pekayon Jaya,17148,Bintara,17134,CTC23
75,TRD2022092602249,0733272200430055,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
76,TRD2022092603058,0733272200434990,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
77,TRD2022092605025,0733272200447489,1,Pekayon Jaya,17148,Bintara,17134,CTC23
78,TRD2022092605386,0733272200450962,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
79,TRD2022092701701,0733272200473063,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
80,TRD2022092801361,0733272200486875,1,Pekayon Jaya,17148,Harapan Baru,17123,CTC23
81,TRD2022092804505,0733272200505617,1,Pekayon Jaya,17148,Bantargebang,17151,CTC23
82,TRD2022092902061,0733272200511656,1,Pekayon Jaya,17148,Harapan Baru,17123,CTC23
83,TRD2022092904149,0733342200051530,1,Pekayon Jaya,17148,Jaticempaka,17411,CTC23
84,TRD2022093000385,0733272200529245,1,Pekayon Jaya,17148,Harapan Baru,17123,CTC23
85,TRD2022093001095,0733272200530367,1,Pekayon Jaya,17148,Harapan Baru,17123,CTC23
86,TRD2022093002429,0733272200538824,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
87,TRD2022093002864,0733272200542719,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
88,TRD2022100101697,0733272200551538,1,Pekayon Jaya,17148,Jatibening,17412,CTC23
89,TRD2022100301378,0733272200560091,1,Pekayon Jaya,17148,Burangkeng,17155,CTC23
90,TRD2022100302781,0733272200568805,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
91,TRD2022100302789,0733272200568367,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
92,TRD2022100500542,0733272200591344,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
93,TRD2022100501615,0733272200594447,1,Pekayon Jaya,17148,Bintara,17134,CTC23
94,TRD2022100502202,0733272200599909,1,Pekayon Jaya,17148,Jatibening,17412,CTC23
95,TRD2022100602191,0733272200617503,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
96,TRD2022100602622,0733272200619848,1,Pekayon Jaya,17148,Burangkeng,17155,CTC23
97,TRD2022100700355,0733272200623725,1,Pekayon Jaya,17148,Harapan Baru,17123,CTC23
98,TRD2022100701484,0733272200625753,1,Pekayon Jaya,17148,Pantai Hurip,17610,CTC23
99,TRD2022100701959,0733272200630266,1,Pekayon Jaya,17148,Pahlawan Setia,17216,CTC23
100,TRD2022100702429,0733272200635026,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
101,TRD2022100702505,0733272200636917,1,Pekayon Jaya,17148,Jatibening,17412,CTC23
102,TRD2022100702686,0733272200635133,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
103,TRD2022100800176,0733272200638392,1,Pekayon Jaya,17148,Bintara,17134,CTC23
104,TRD2022100801659,0733272200647294,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
105,TRD2022101000894,0733272200650975,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
106,TRD2022101301361,0733272200699915,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
107,TRD2022101401290,0733272200711421,1,Pekayon Jaya,17148,Bintara,17134,CTC23
108,TRD2022101500290,0733272200712213,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
109,TRD2022101704105,0733272200728706,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
110,TRD2022101704245,0733272200731403,1,Pekayon Jaya,17148,Jatibening,17412,CTC23
111,TRD2022101704288,0733272200734373,1,Pekayon Jaya,17148,Bintara,17134,CTC23
112,TRD2022101900492,0733272200759826,1,Pekayon Jaya,17148,Jatibening,17412,CTC23
113,TRD2022101901989,0733272200765757,1,Pekayon Jaya,17148,Bintara,17134,CTC23
114,TRD2022102001327,0733272200775384,1,Pekayon Jaya,17148,Pantai Hurip,17610,CTC23
115,TRD2022102102480,0733272200787165,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
116,TRD2022102601539,0733272200832300,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
117,TRD2022102601722,0733272200834397,1,Pekayon Jaya,17148,Bintara,17134,CTC23
118,TRD2022102803139,0733272200856002,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
119,TRD2022102803378,0733272200858065,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
120,TRD2022102900201,0733272200863677,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
121,TRD2022103102489,0733272200871936,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
122,TRD2022103103020,0733272200874484,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
123,TRD2022103103525,0733272200877362,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
124,TRD2022103103607,0733272200878014,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
125,TRD2022110102596,0733272200894219,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
126,TRD2022110304033,0733272200915386,1,Pekayon Jaya,17148,Setiamekar,17111,CTC23
127,TRD2022110503575,0733272200930138,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
128,TRD2022111702952,0733272201025615,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
129,TRD2022111903042,0733272201038402,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
130,TRD2022112101526,0434532200009270,1,Timbang Deli,20148,Sei Kerah Hilir II,20233,CTC23
131,TRD2022112101534,0434532200009742,1,Timbang Deli,20148,Cinta Damai,20126,CTC23
132,TRD2022112101760,4727892200001612,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
133,TRD2022112201066,0434532200010617,1,A M P L A S,20148,Cinta Damai,20126,CTC23
134,TRD2022112201253,0733272201052098,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
135,TRD2022112201802,0434532200011235,1,Timbang Deli,20148,Marindal Dua,20361,CTC23
136,TRD2022112301009,0930842200004588,1,Sukodadi,30154,1 Ulu,30257,CTC23
137,TRD2022112301445,0434532200011607,1,Timbang Deli,20148,Marindal Dua,20361,CTC23
138,TRD2022112301446,0434532200011979,1,Timbang Deli,20148,Marindal Dua,20361,CTC23
139,TRD2022112301479,0434532200011839,1,Timbang Deli,20148,Cinta Damai (Dame),20371,CTC23
140,TRD2022112501374,0434532200012738,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
141,TRD2022112501707,0434532200012969,1,Timbang Deli,20148,Cinta Damai (Dame),20371,CTC23
142,TRD2022112501726,0434532200013132,1,Timbang Deli,20148,Cinta Damai (Dame),20371,CTC23
143,TRD2022112601207,0434532200013538,1,A M P L A S,20148,Cinta Damai,20126,CTC23
144,TRD2022112601281,0434532200013785,1,Timbang Deli,20148,Cinta Damai (Dame),20371,CTC23
145,TRD2022112601285,0434532200013686,1,Timbang Deli,20148,Batu Rejo,20356,CTC23
146,TRD2022112601298,0434532200013819,1,Timbang Deli,20148,Marindal Dua,20361,CTC23
147,TRD2022112601300,0434532200013850,1,Timbang Deli,20148,Bandar Selamat,20223,CTC23
148,TRD2022112601319,0434532200014064,1,Timbang Deli,20148,Labuhan Deli,20254,CTC23
149,TRD2022112801742,0434532200014189,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
150,TRD2022112801756,0434532200014338,1,A M P L A S,20148,Namu Gajah,20136,CTC23
151,TRD2022112801768,0434532200014445,1,A M P L A S,20148,Kota Bangun,20243,CTC23
152,TRD2022112801939,4727892200006272,1,Rintis,28155,Delima,28291,CTC23
153,TRD2022112803175,0930842200008191,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
154,TRD2022112803182,0930842200008555,1,Sukodadi,30154,1 Ulu,30257,CTC23
155,TRD2022112803259,0930842200008811,1,Sukodadi,30154,1 Ulu,30257,CTC23
156,TRD2022112803879,0434532200014528,1,Timbang Deli,20148,Lau Bakeri,20354,CTC23
157,TRD2022112803891,0434532200014593,1,Timbang Deli,20148,Marindal Dua,20361,CTC23
158,TRD2022112803908,0434532200014791,1,Timbang Deli,20148,Kedai Durian,20355,CTC23
159,TRD2022112803957,0434532200015285,1,Timbang Deli,20148,Babura Sunggal,20121,CTC23
160,TRD2022112803963,0434532200015244,1,Timbang Deli,20148,Sei Kerah Hilir II,20233,CTC23
161,TRD2022112804031,0434532200015939,1,Timbang Deli,20148,Paya Pasir,20250,CTC23
162,TRD2022112901267,0434532200016085,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
163,TRD2022112901293,0930842200009686,1,Sukodadi,30154,Keramasan,30259,CTC23
164,TRD2022112902094,0434532200016408,1,Timbang Deli,20148,Lau Bakeri,20354,CTC23
165,TRD2022112902109,0434532200016838,1,Timbang Deli,20148,Tanjung Rejo,20154,CTC23
166,TRD2022112902110,0434532200016846,1,Timbang Deli,20148,Batu Rejo,20356,CTC23
167,TRD2022112902115,0434532200016556,1,Timbang Deli,20148,Babura Sunggal,20121,CTC23
168,TRD2022113001527,0434532200017000,1,A M P L A S,20148,Cinta Damai,20126,CTC23
169,TRD2022113001825,0434532200017166,1,Timbang Deli,20148,Glugur Kota,20115,CTC23
170,TRD2022113001859,0434532200017448,1,Timbang Deli,20148,Namu Gajah,20136,CTC23
171,TRD2022113001866,0434532200017513,1,Timbang Deli,20148,Batu Rejo,20356,CTC23
172,TRD2022120100893,0434532200017836,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
173,TRD2022120101023,0434532200018172,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
174,TRD2022120101024,0434532200018255,1,A M P L A S,20148,Namu Gajah,20136,CTC23
175,TRD2022120101025,0434532200018214,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
176,TRD2022120101032,0434532200018339,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
177,TRD2022120101175,4727892200009938,1,Rintis,28155,Delima,28291,CTC23
178,TRD2022120101178,4727892200009979,1,Rintis,28155,Delima,28291,CTC23
179,TRD2022120200937,0434532200018594,1,A M P L A S,20148,Anggrung,20152,CTC23
180,TRD2022120200948,0434532200018719,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
181,TRD2022120200954,0434532200018784,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
182,TRD2022120201157,0434532200019352,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
183,TRD2022120201179,0434532200019196,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
184,TRD2022120201188,0434532200019246,1,A M P L A S,20148,Sei Kerah Hilir II,20233,CTC23
185,TRD2022120201203,0930842200011872,1,Sukodadi,30154,27 Ilir,30141,CTC23
186,TRD2022120201248,0930842200012532,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
187,TRD2022120201273,4727892200010332,1,Rintis,28155,Delima,28291,CTC23
188,TRD2022120203177,0733272201130647,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
189,TRD2022120301271,0434532200020186,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
190,TRD2022120301470,0434532200020285,1,A M P L A S,20148,Tanjung Rejo,20154,CTC23
191,TRD2022120301786,4727892200011702,1,Rintis,28155,Delima,28291,CTC23
192,TRD2022120501680,0434532200020772,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
193,TRD2022120501684,0434532200020749,1,A M P L A S,20148,Medan Tenggara,20228,CTC23
194,TRD2022120501697,0434532200020764,1,A M P L A S,20148,Sei Kerah Hilir II,20233,CTC23
195,TRD2022120501717,0434532200020954,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
196,TRD2022120501859,0434532200021598,1,A M P L A S,20148,Babura,20112,CTC23
197,TRD2022120501889,0434532200021499,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
198,TRD2022120501907,0434532200021804,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
199,TRD2022120501931,0434532200021994,1,A M P L A S,20148,Tanjung Beringin,20357,CTC23
200,TRD2022120501932,0434532200022042,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
201,TRD2022120501943,0434532200022117,1,A M P L A S,20148,Cinta Damai,20126,CTC23
202,TRD2022120501950,0434532200022224,1,A M P L A S,20148,Kota Bangun,20243,CTC23
203,TRD2022120501979,0434532200022448,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
204,TRD2022120501997,0434532200022554,1,A M P L A S,20148,Babura,20112,CTC23
205,TRD2022120502011,0930842200013753,1,Sukodadi,30154,Kebun Bunga,30151,CTC23
206,TRD2022120502072,0930842200014751,1,Sukodadi,30154,27 Ilir,30141,CTC23
207,TRD2022120601607,0434532200022794,1,A M P L A S,20148,Anggrung,20152,CTC23
208,TRD2022120604337,0733272201152278,1,Pekayon Jaya,17148,Jaka Mulya,17146,CTC23
209,TRD2022120604599,0733272201154092,1,Pekayon Jaya,17148,Satriamekar,17510,CTC23
210,TRD2022120701656,4727892200016396,1,Rintis,28155,Delima,28291,CTC23
211,TRD2022120701751,0434532200024121,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
212,TRD2022120701753,0434532200024188,1,A M P L A S,20148,Anggrung,20152,CTC23
213,TRD2022120701896,4727892200016628,1,Rintis,28155,Kulim,28286,CTC23
214,TRD2022120802019,0434532200024766,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
215,TRD2022120802071,0434532200025243,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
216,TRD2022120802186,0532932200001627,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
217,TRD2022120802238,4727892200017527,1,Rintis,28155,Delima,28291,CTC23
218,TRD2022120902454,0434532200025763,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
219,TRD2022120902464,0434532200025896,1,A M P L A S,20148,Glugur Kota,20115,CTC23
220,TRD2022120902600,4727892200018111,1,Rintis,28155,Delima,28291,CTC23
221,TRD2022121006634,0434532200026142,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
222,TRD2022121006756,0532932200003755,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
223,TRD2022121006837,0532932200004506,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
224,TRD2022121006875,0434532200026472,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
225,TRD2022121006967,0930842200018430,1,Sukodadi,30154,7 Ulu,30253,CTC23
226,TRD2022121203421,0434532200027389,1,A M P L A S,20148,Marindal Dua,20361,CTC23
227,TRD2022121203443,0930842200018950,1,Sukodadi,30154,Karya Mulya,30161,CTC23
228,TRD2022121203448,0930842200019032,1,Sukodadi,30154,Lebong Gajah,30163,CTC23
229,TRD2022121204230,0434532200028452,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
230,TRD2022121204575,4727892200019903,1,Rintis,28155,Delima,28291,CTC23
231,TRD2022121204578,4727892200019937,1,Rintis,28155,Delima,28291,CTC23
232,TRD2022121303098,0434532200028833,1,A M P L A S,20148,Anggrung,20152,CTC23
233,TRD2022121303131,4727892200020331,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
234,TRD2022121303478,0532932200006691,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
235,TRD2022121303548,0434532200028973,1,A M P L A S,20148,Batu Rejo,20356,CTC23
236,TRD2022121303576,0434532200029252,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
237,TRD2022121402180,0434532200029443,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
238,TRD2022121402224,0532932200007368,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
239,TRD2022121402547,0532932200008051,1,Kerobokan Kelod,80117,Pemecutan,80231,CTC23
240,TRD2022121402561,0434532200029542,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
241,TRD2022121502689,0532932200008507,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
242,TRD2022121502701,0532932200008713,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
243,TRD2022121502705,0532932200008689,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
244,TRD2022121502858,0434532200030128,1,A M P L A S,20148,Cinta Damai,20126,CTC23
245,TRD2022121502962,0434532200030466,1,A M P L A S,20148,Marindal Dua,20361,CTC23
246,TRD2022121502979,0434532200030599,1,A M P L A S,20148,Babura,20112,CTC23
247,TRD2022121602252,0532932200009281,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
248,TRD2022121602261,0532932200009356,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
249,TRD2022121602520,0434532200030961,1,A M P L A S,20148,Babura Sunggal,20121,CTC23
250,TRD2022121602538,0930842200021566,1,Sukodadi,30154,Lebong Gajah,30163,CTC23
251,TRD2022121602604,0930842200021913,1,Sukodadi,30154,1 Ulu,30257,CTC23
252,TRD2022121602645,0434532200031233,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
253,TRD2022121602689,4727892200022360,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
254,TRD2022121604811,0733272201210449,1,Pekayon Jaya,17148,Bintara,17134,CTC23
255,TRD2022121604950,0136932200464098,1,Grogol,11450,Kalideres,11840,CTC23
256,TRD2022121605182,0136932200466200,1,Grogol,11450,Cilandak Timur,12560,CTC23
257,TRD2022121702572,0434532200031597,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
258,TRD2022121702575,0434532200031613,1,A M P L A S,20148,Bandar Selamat,20223,CTC23
259,TRD2022121702712,4727892200022915,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
260,TRD2022121702789,4727892200023368,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
261,TRD2022121903679,0733272201215356,1,Pekayon Jaya,17148,Pantai Hurip,17610,CTC23
262,TRD2022121906551,0532932200010586,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
263,TRD2022121906584,0532932200010834,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
264,TRD2022121906594,0532932200010883,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
265,TRD2022121906622,0532932200011253,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
266,TRD2022121906781,0434532200032868,1,A M P L A S,20148,Kota Matsum II,20215,CTC23
267,TRD2022121906789,0434532200032983,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
268,TRD2022121906866,0434532200033668,1,A M P L A S,20148,Labuhan Deli,20254,CTC23
269,TRD2022121906870,0434532200033767,1,A M P L A S,20148,Namu Gajah,20136,CTC23
270,TRD2022121907344,4727892200024598,1,Rintis,28155,Kulim,28286,CTC23
271,TRD2022121907384,4727892200024754,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
272,TRD2022122002772,0434532200034054,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
273,TRD2022122002800,0532932200012178,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
274,TRD2022122003002,4727892200024978,1,Rintis,28155,Perhentianmarpoyan,28125,CTC23
275,TRD2022122202140,0434532200034799,1,A M P L A S,20148,Glugur Kota,20115,CTC23
276,TRD2022122202271,0532932200012913,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
277,TRD2022122202312,0434532200034856,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
278,TRD2022122303365,0434532200035424,1,A M P L A S,20148,Cinta Damai (Dame),20371,CTC23
279,TRD2022122303410,4727892200026288,1,Rintis,28155,Delima,28291,CTC23
280,TRD2022122303499,0532932200013630,1,Kerobokan Kelod,80117,Panjer,80113,CTC23
281,TRD2022122303502,0532932200013671,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
282,TRD2022122303519,0532932200013846,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
283,TRD2022122303556,0434532200036208,1,A M P L A S,20148,Namo Tualang,20358,CTC23
284,TRD2022122303561,0434532200035705,1,A M P L A S,20148,Kedai Durian,20355,CTC23
285,TRD2022122303584,0434532200035952,1,A M P L A S,20148,Lau Bakeri,20354,CTC23
286,TRD2022122303618,0434532200036257,1,A M P L A S,20148,Gunung Tinggi,20353,CTC23
287,TRD2022122303650,0930842200025575,1,Sukodadi,30154,Lebong Gajah,30163,CTC23
288,TRD2022122304234,0136932200479575,1,Grogol,11450,Duren Sawit,13440,CTC23
289,TRD2022122402729,0532932200013994,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
290,TRD2022122402808,0532932200014521,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
291,TRD2022122402817,0532932200014620,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
292,TRD2022122403602,0434532200036752,1,A M P L A S,20148,Cinta Damai,20126,CTC23
293,TRD2022122403807,4727892200027518,1,Rintis,28155,Lembah Damai,28263,CTC23
294,TRD2022122604498,0532932200014760,1,Kerobokan Kelod,80117,Tegal Harum,80361,CTC23
295,TRD2022122604525,0532932200015650,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
296,TRD2022122604544,0532932200015031,1,Kerobokan Kelod,80117,Panjer,80225,CTC23
