No.,Nama Logistic,Kode Pos Asal,Nama Provinsi Tujuan,Nama Kota Tujuan,Nama Kecamatan Tujuan,Nama Kelurahan Tujuan,Kode Pos Tujuan,Ongkir Normal,Rate Code,Rate Type
138,ID Express,40135,Banten,Tangerang Kabupaten,Legok,Ciangir,15820,30000,iDtruck,cargo
139,ID Express,40135,Banten,Tangerang Kabupaten,Mauk,Kedung Dalem,15530,30000,iDtruck,cargo
140,ID Express,40135,Banten,Tangerang Kabupaten,Mekar Baru,Kedaung,15550,30000,iDtruck,cargo
141,ID Express,40135,Banten,Tangerang Kabupaten,Pagedangan,Cihuni,15332,30000,iDtruck,cargo
142,ID Express,40135,Banten,Tangerang Kabupaten,Pakuhaji,Bunisari (Bonasari),15570,30000,iDtruck,cargo
143,ID Express,40135,Banten,Tangerang Kabupaten,Panongan,Peusar,15710,30000,iDtruck,cargo
144,ID Express,40135,Banten,Tangerang Kabupaten,Pasar Kemis,Sukaasih,15560,30000,iDtruck,cargo
145,ID Express,40135,Banten,Tangerang Kabupaten,Rajeg,Pangarengan,15540,30000,iDtruck,cargo
146,ID Express,40135,Banten,Tangerang Kabupaten,Sepatan,Pondok Jaya,15520,30000,iDtruck,cargo
147,ID Express,40135,Banten,Tangerang Kabupaten,Sepatan Timur,Gempol Sari,15520,30000,iDtruck,cargo
148,ID Express,40135,Banten,Tangerang Kabupaten,Sindang Jaya,Badak Anom,15540,30000,iDtruck,cargo
149,ID Express,40135,Banten,Tangerang Kabupaten,Solear,Cikasungka,15730,30000,iDtruck,cargo
150,ID Express,40135,Banten,Tangerang Kabupaten,Sukadiri,Kosambi,15530,30000,iDtruck,cargo
151,ID Express,40135,Banten,Tangerang Kabupaten,Sukamulya,Bunar,15610,30000,iDtruck,cargo
152,ID Express,40135,Banten,Tangerang Kabupaten,Teluknaga,Teluk Naga,15510,30000,iDtruck,cargo
153,ID Express,40135,Banten,Tangerang Kabupaten,Tigaraksa,Kadu Agung,15720,30000,iDtruck,cargo
154,ID Express,40135,Banten,Tangerang Kabupaten,Kemiri,Legok Sula Maju,15530,30000,iDtruck,cargo
155,ID Express,40135,Banten,Tangerang Kabupaten,Curug,Kadu Jaya,15810,30000,iDtruck,cargo
156,ID Express,40135,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,11730,30000,iDtruck,cargo
157,ID Express,40135,DKI Jakarta,Jakarta Barat,Grogol Petamburan,Grogol,11450,30000,iDtruck,cargo
158,ID Express,40135,DKI Jakarta,Jakarta Barat,Kalideres,Kalideres,11840,30000,iDtruck,cargo
159,ID Express,40135,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Duri Kepa,11510,30000,iDtruck,cargo
160,ID Express,40135,DKI Jakarta,Jakarta Barat,Kembangan,Joglo,11640,30000,iDtruck,cargo
161,ID Express,40135,DKI Jakarta,Jakarta Barat,Palmerah,Palmerah,11480,30000,iDtruck,cargo
162,ID Express,40135,DKI Jakarta,Jakarta Barat,Tambora,Angke,11330,30000,iDtruck,cargo
163,ID Express,40135,DKI Jakarta,Jakarta Barat,Taman Sari,Glodok,11120,30000,iDtruck,cargo
164,ID Express,40135,DKI Jakarta,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,10520,30000,iDtruck,cargo
165,ID Express,40135,DKI Jakarta,Jakarta Pusat,Gambir,Duri Pulo,10140,30000,iDtruck,cargo
166,ID Express,40135,DKI Jakarta,Jakarta Pusat,Johar Baru,Johar Baru,10560,30000,iDtruck,cargo
167,ID Express,40135,DKI Jakarta,Jakarta Pusat,Kemayoran,Sumur Batu,10640,30000,iDtruck,cargo
168,ID Express,40135,DKI Jakarta,Jakarta Pusat,Menteng,Kebon Sirih,10340,30000,iDtruck,cargo
169,ID Express,40135,DKI Jakarta,Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,10720,30000,iDtruck,cargo
170,ID Express,40135,DKI Jakarta,Jakarta Pusat,Senen,Kwitang,10420,30000,iDtruck,cargo
171,ID Express,40135,DKI Jakarta,Jakarta Pusat,Tanah Abang,Karet Tengsin,10220,30000,iDtruck,cargo
172,ID Express,40135,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,12430,30000,iDtruck,cargo
173,ID Express,40135,DKI Jakarta,Jakarta Selatan,Jagakarsa,Ciganjur,12630,30000,iDtruck,cargo
174,ID Express,40135,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Cipete Utara,12150,30000,iDtruck,cargo
175,ID Express,40135,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Cipulir,12230,30000,iDtruck,cargo
176,ID Express,40135,DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Bangka,12730,30000,iDtruck,cargo
177,ID Express,40135,DKI Jakarta,Jakarta Selatan,Pancoran,Cikoko,12770,30000,iDtruck,cargo
178,ID Express,40135,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Cilandak Timur,12560,30000,iDtruck,cargo
179,ID Express,40135,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Bintaro,12330,30000,iDtruck,cargo
180,ID Express,40135,DKI Jakarta,Jakarta Selatan,Setia Budi,Kuningan Timur,12950,30000,iDtruck,cargo
181,ID Express,40135,DKI Jakarta,Jakarta Selatan,Tebet,Bukit Duri,12840,30000,iDtruck,cargo
182,ID Express,40135,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,13910,30000,iDtruck,cargo
183,ID Express,40135,DKI Jakarta,Jakarta Timur,Ciracas,Cibubur,13720,30000,iDtruck,cargo
184,ID Express,40135,DKI Jakarta,Jakarta Timur,Duren Sawit,Duren Sawit,13440,30000,iDtruck,cargo
185,ID Express,40135,DKI Jakarta,Jakarta Timur,Kramat Jati,Dukuh,13550,30000,iDtruck,cargo
186,ID Express,40135,DKI Jakarta,Jakarta Timur,Makasar,Cipinang Melayu,13620,30000,iDtruck,cargo
187,ID Express,40135,DKI Jakarta,Jakarta Timur,Matraman,Kayu Manis,13130,30000,iDtruck,cargo
188,ID Express,40135,DKI Jakarta,Jakarta Timur,Pasar Rebo,Baru,13780,30000,iDtruck,cargo
189,ID Express,40135,DKI Jakarta,Jakarta Timur,Pulo Gadung,Pisangan Timur,13230,30000,iDtruck,cargo
190,ID Express,40135,DKI Jakarta,Jakarta Timur,Jatinegara,Bali Mester,13310,30000,iDtruck,cargo
191,ID Express,40135,DKI Jakarta,Jakarta Timur,Cipayung,Bambu Apus,13890,30000,iDtruck,cargo
192,ID Express,40135,DKI Jakarta,Jakarta Utara,Cilincing,Cilincing,14120,30000,iDtruck,cargo
193,ID Express,40135,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,14240,30000,iDtruck,cargo
194,ID Express,40135,DKI Jakarta,Jakarta Utara,Koja,Koja (Utara-Selatan),14210,30000,iDtruck,cargo
195,ID Express,40135,DKI Jakarta,Jakarta Utara,Pademangan,Ancol,14430,30000,iDtruck,cargo
196,ID Express,40135,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,14470,30000,iDtruck,cargo
197,ID Express,40135,DKI Jakarta,Jakarta Utara,Tanjung Priok,Kebon Bawang,14320,30000,iDtruck,cargo
198,,40135,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Pari,14520,,,cargo
199,,40135,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Harapan,14540,,,cargo
200,ID Express,40135,Jawa Barat,Bandung Kota,Andir,Ciroyom,40182,30000,iDtruck,cargo
201,ID Express,40135,Jawa Barat,Bandung Kota,Arcamanik,Cisaranten Endah,40293,30000,iDtruck,cargo
202,,40135,Jawa Barat,Bandung Kota,Astana Anyar,Cibadak,40241,,,cargo
203,ID Express,40135,Jawa Barat,Bandung Kota,Babakan Ciparay,Margahayu Utara,40224,30000,iDtruck,cargo
204,ID Express,40135,Jawa Barat,Bandung Kota,Bandung Kidul,Wates,40256,30000,iDtruck,cargo
205,ID Express,40135,Jawa Barat,Bandung Kota,Bandung Kulon,Warung Muncang,40211,30000,iDtruck,cargo
206,ID Express,40135,Jawa Barat,Bandung Kota,Bandung Wetan,Tamansari,40116,30000,iDtruck,cargo
207,ID Express,40135,Jawa Barat,Bandung Kota,Batununggal,Kebonwaru,40272,30000,iDtruck,cargo
208,ID Express,40135,Jawa Barat,Bandung Kota,Bojongloa Kaler,Suka Asih,40231,30000,iDtruck,cargo
209,ID Express,40135,Jawa Barat,Bandung Kota,Bojongloa Kidul,Cibaduyut,40236,30000,iDtruck,cargo
210,ID Express,40135,Jawa Barat,Bandung Kota,Buahbatu (Margacinta),Sekejati,40286,30000,iDtruck,cargo
211,ID Express,40135,Jawa Barat,Bandung Kota,Cibeunying Kaler,Neglasari,40124,30000,iDtruck,cargo
212,ID Express,40135,Jawa Barat,Bandung Kota,Cibeunying Kidul,Sukamaju,40121,30000,iDtruck,cargo
213,ID Express,40135,Jawa Barat,Bandung Kota,Cibiru,Palasari,40615,30000,iDtruck,cargo
214,ID Express,40135,Jawa Barat,Bandung Kota,Cicendo,Pajajaran,40173,30000,iDtruck,cargo
215,ID Express,40135,Jawa Barat,Bandung Kota,Cinambo,Cisaranten Wetan,40294,30000,iDtruck,cargo
216,ID Express,40135,Jawa Barat,Bandung Kota,Coblong,Sekeloa,40134,30000,iDtruck,cargo
217,ID Express,40135,Jawa Barat,Bandung Kota,Gedebage,Cimenerang (Cimincrang),40294,30000,iDtruck,cargo
218,ID Express,40135,Jawa Barat,Bandung Kota,Kiaracondong,Kebon Kangkung,40284,30000,iDtruck,cargo
219,ID Express,40135,Jawa Barat,Bandung Kota,Mandalajati,Jatihandap,40195,30000,iDtruck,cargo
220,ID Express,40135,Jawa Barat,Bandung Kota,Panyileukan,Cipadung Wetan,40614,30000,iDtruck,cargo
221,ID Express,40135,Jawa Barat,Bandung Kota,Rancasari,Mekar Mulya (Mekarjaya),40292,30000,iDtruck,cargo
222,ID Express,40135,Jawa Barat,Bandung Kota,Regol,Pasirluyu,40254,30000,iDtruck,cargo
223,ID Express,40135,Jawa Barat,Bandung Kota,Sukajadi,Sukawarna,40164,30000,iDtruck,cargo
224,ID Express,40135,Jawa Barat,Bandung Kota,Sumur Bandung,Merdeka,40113,30000,iDtruck,cargo
225,ID Express,40135,Jawa Barat,Bandung Kota,Ujung Berung,Pasirjati,40616,30000,iDtruck,cargo
226,ID Express,40135,Jawa Barat,Bandung Kota,Cidadap,Ciumbuleuit,40142,30000,iDtruck,cargo
227,ID Express,40135,Jawa Barat,Bandung Kota,Sukasari,Sarijadi,40151,30000,iDtruck,cargo
228,ID Express,40135,Jawa Barat,Bandung Kota,Antapani,Antapani Kulon,40291,30000,iDtruck,cargo
229,ID Express,40135,Jawa Barat,Bandung Kota,Lengkong,Cikawao,40261,30000,iDtruck,cargo
230,ID Express,40135,Jawa Barat,Bandung Barat,Batujajar,Batujajar Barat,40561,35000,iDtruck,cargo
231,ID Express,40135,Jawa Barat,Bandung Barat,Cihampelas,Situwangi,40562,35000,iDtruck,cargo
232,ID Express,40135,Jawa Barat,Bandung Barat,Cikalong Wetan,Cikalong,40556,35000,iDtruck,cargo
233,ID Express,40135,Jawa Barat,Bandung Barat,Cililin,Bongas,40562,35000,iDtruck,cargo
234,ID Express,40135,Jawa Barat,Bandung Barat,Cipatat,Nyalindung,40554,35000,iDtruck,cargo
235,,40135,Jawa Barat,Bandung Barat,Cipongkor,Cicangkang Hilir,40564,,,cargo
236,,40135,Jawa Barat,Bandung Barat,Gununghalu,Sukasari,40565,,,cargo
237,ID Express,40135,Jawa Barat,Bandung Barat,Ngamprah,Margajaya,40552,35000,iDtruck,cargo
238,ID Express,40135,Jawa Barat,Bandung Barat,Padalarang,Cimerang,40553,35000,iDtruck,cargo
239,ID Express,40135,Jawa Barat,Bandung Barat,Parongpong,Karyawangi,40559,35000,iDtruck,cargo
240,,40135,Jawa Barat,Bandung Barat,Rongga,Bojong,40566,,,cargo
241,ID Express,40135,Jawa Barat,Bandung Barat,Saguling,Saguling,40561,35000,iDtruck,cargo
242,,40135,Jawa Barat,Bandung Barat,Sindangkerta,Buninagara,40563,,,cargo
243,ID Express,40135,Jawa Barat,Bandung Barat,Lembang,Cikahuripan,40391,35000,iDtruck,cargo
244,ID Express,40135,Jawa Barat,Bandung Barat,Cipeundeuy,Sirnaraja,40558,35000,iDtruck,cargo
245,ID Express,40135,Jawa Barat,Bandung Barat,Cisarua,Tugumukti,40551,35000,iDtruck,cargo
246,ID Express,40135,Jawa Barat,Banjar,Langensari,Rejasari,46344,35000,iDtruck,cargo
247,ID Express,40135,Jawa Barat,Banjar,Pataruman,Karyamukti,46327,35000,iDtruck,cargo
248,ID Express,40135,Jawa Barat,Banjar,Purwaharja,Raharja,46333,35000,iDtruck,cargo
249,ID Express,40135,Jawa Barat,Banjar,Banjar,Balokang,46312,35000,iDtruck,cargo
250,ID Express,40135,Jawa Barat,Bekasi Kota,BANTARGEBANG,Cikiwul,17152,30000,iDtruck,cargo
251,ID Express,40135,Jawa Barat,Bekasi Kota,Bekasi Barat,Kranji,17135,30000,iDtruck,cargo
252,ID Express,40135,Jawa Barat,Bekasi Kota,Bekasi Selatan,Pekayon Jaya,17148,30000,iDtruck,cargo
253,ID Express,40135,Jawa Barat,Bekasi Kota,Bekasi Timur,Duren Jaya,17111,30000,iDtruck,cargo
254,ID Express,40135,Jawa Barat,Bekasi Kota,Bekasi Utara,Teluk Pucung,17121,30000,iDtruck,cargo
255,ID Express,40135,Jawa Barat,Bekasi Kota,Jatisampurna,Jatisampurna,17433,30000,iDtruck,cargo
256,ID Express,40135,Jawa Barat,Bekasi Kota,Jatiasih,Jatirasa,17424,30000,iDtruck,cargo
257,ID Express,40135,Jawa Barat,Bekasi Kota,Medan Satria,Medan Satria,17132,30000,iDtruck,cargo
258,ID Express,40135,Jawa Barat,Bekasi Kota,MUSTIKAJAYA,Cimuning,17155,30000,iDtruck,cargo
259,ID Express,40135,Jawa Barat,Bekasi Kota,PONDOKGEDE,Jatibening,17412,30000,iDtruck,cargo
260,ID Express,40135,Jawa Barat,Bekasi Kota,Pondok Melati,Jatimelati,17414,30000,iDtruck,cargo
