No,shipment_order_no,awb_number,weight,origin_subdistrict,origin_postal_code,destination_subdistrict,destination_postal_code,rate_code,min_sla,max_sla,min_sla_api,max_sla_api
20045,TRD2022100102204,2534902200732368,1,Bunigeulis,45556,Patam Lestari,29427,REG23,2,,,
20046,TRD2022100102208,2534902200732335,1,Bunigeulis,45556,Tanjung Merbu,30967,REG23,4,,,
20047,TRD2022100102225,2534902200732202,1,Bunigeulis,45556,Babura Sunggal,20121,REG23,2,,,
20048,TRD2022100102235,2534902200732285,1,Bunigeulis,45556,Delima,28291,REG23,2,,,
20049,TRD2022100102242,2534902200732400,1,Bunigeulis,45556,Pinang Sebatang Barat,28772,REG23,5,,,
20050,TRD2022100102248,2534902200732483,1,Bunigeulis,45556,Kota Sidikalang,22219,REG23,3,,,
20051,TRD2022100102253,2534902200732640,1,Bunigeulis,45556,Heledulaa Selatan,96114,REG23,2,,,
20052,TRD2022100102264,2534902200732756,1,Bunigeulis,45556,Margaasih,40395,REG23,1,,,
20053,TRD2022100102270,2534902200732855,1,Bunigeulis,45556,Ambekairi,93413,REG23,3,,,
20054,TRD2022100102374,0733272200553013,1,Pekayon Jaya,17148,Batu Merah,29452,REG23,1,,,
20055,TRD2022100102380,0733272200553070,1,Pekayon Jaya,17148,Mario,91999,REG23,5,,,
20056,TRD2022100102382,0733272200553062,1,Pekayon Jaya,17148,Cilandak Timur,12560,REG23,1,,,
20057,TRD2022100102385,0733272200553120,1,Pekayon Jaya,17148,Kacaribu,22111,REG23,2,,,
20058,TRD2022100102386,0733272200553146,1,Pekayon Jaya,17148,Buliang,29438,REG23,1,,,
20059,TRD2022100300550,0733272200553393,1,Pekayon Jaya,17148,Wonomarto,34511,REG23,3,,,
20060,TRD2022100300551,0733272200553419,1,Pekayon Jaya,17148,Anaiwoi,93118,REG23,2,,,
20061,TRD2022100300562,0733272200553500,1,Pekayon Jaya,17148,Mayang Mangurai,36129,REG23,1,,,
20062,TRD2022100300569,0733272200553583,1,Pekayon Jaya,17148,Walimpong,92763,REG23,5,,,
20063,TRD2022100300595,0733342200055135,1,Pekayon Jaya,17148,Wawolatoma,93461,REG23,5,,,
20064,TRD2022100300652,0733272200553872,1,Pekayon Jaya,17148,Bali Mester,13310,REG23,1,,,
20065,TRD2022100300657,0733272200553906,1,Pekayon Jaya,17148,Sari Mekar,81119,REG23,3,,,
20066,TRD2022100300658,0733272200553914,1,Pekayon Jaya,17148,Sereh,99352,REG23,4,,,
20067,TRD2022100300661,0733272200553989,1,Pekayon Jaya,17148,Honelama,99511,REG23,4,,,
20068,TRD2022100300664,0733272200553971,1,Pekayon Jaya,17148,Bira,90243,REG23,2,,,
20069,TRD2022100300667,0733272200554003,1,Pekayon Jaya,17148,Atep,95694,REG23,5,,,
20070,TRD2022100300674,0733272200554060,1,Pekayon Jaya,17148,Ketsoblak,97611,REG23,1,10,,
20071,TRD2022100300675,0733272200554102,1,Pekayon Jaya,17148,Mekarsari,15720,REG23,1,,,
20072,TRD2022100300681,0733272200554136,1,Pekayon Jaya,17148,Gamalama,97721,REG23,2,,,
20073,TRD2022100300690,0733272200554201,1,Pekayon Jaya,17148,Fayaunana,97794,REG23,1,10,,
20074,TRD2022100300691,0733272200554227,1,Pekayon Jaya,17148,Klasabi,98415,REG23,2,,,
20075,TRD2022100300693,0733272200554235,1,Pekayon Jaya,17148,Nisombalia,90552,REG23,5,,,
20076,TRD2022100300698,0733272200554243,1,Pekayon Jaya,17148,Talumolo,96118,REG23,2,,,
20077,TRD2022100300702,0733272200554334,1,Pekayon Jaya,17148,Berebas Tengah (Berbas Tengah),75325,REG23,5,,,
20078,TRD2022100300722,0733272200554540,1,Pekayon Jaya,17148,Apela Satu (I),95537,REG23,5,,,
20079,TRD2022100300734,0733272200554664,1,Pekayon Jaya,17148,Bailangu,30757,REG23,3,,,
20080,TRD2022100300735,0733272200554672,1,Pekayon Jaya,17148,Panjer,80225,REG23,1,,,
20081,TRD2022100300738,0733272200554706,1,Pekayon Jaya,17148,Pohan Jae,22474,REG23,2,,,
20082,TRD2022100300740,0733272200554763,1,Pekayon Jaya,17148,Air Tawar Barat,25132,REG23,1,,,
20083,TRD2022100300749,0733272200554789,1,Pekayon Jaya,17148,Baru,94221,REG23,2,,,
20084,TRD2022100300751,0733272200554839,1,Pekayon Jaya,17148,Biyonga,96212,REG23,3,,,
20085,TRD2022100300752,0733272200554888,1,Pekayon Jaya,17148,Sei/Sungai Rotan,36554,REG23,3,,,
20086,TRD2022100300753,0733272200554847,1,Pekayon Jaya,17148,Tebas Sungai,79461,REG23,5,,,
20087,TRD2022100300917,2534902200735098,1,Bunigeulis,45556,Kota Matsum II,20215,REG23,2,,,
20088,TRD2022100300938,2534902200735254,1,Bunigeulis,45556,Karya Ambalutu,96266,REG23,5,,,
20089,TRD2022100300949,2534902200735445,1,Bunigeulis,45556,Mlaran,54191,REG23,5,,,
20090,TRD2022100300950,2534902200735452,1,Bunigeulis,45556,Balang,92315,REG23,5,,,
20091,TRD2022100300960,2534902200735668,1,Bunigeulis,45556,Batu Besar,29466,REG23,2,,,
20092,TRD2022100300964,2534902200735536,1,Bunigeulis,45556,Atep,95694,REG23,5,,,
20093,TRD2022100300971,2534902200735494,1,Bunigeulis,45556,Kebon Cau,15510,REG23,1,,,
20094,TRD2022100300976,2534902200735734,1,Bunigeulis,45556,Pesajian,29354,REG23,5,,,
20095,TRD2022100300989,2534902200735833,1,Bunigeulis,45556,Biyonga,96212,REG23,3,,,
20096,TRD2022100300994,2534902200735932,1,Bunigeulis,45556,Selusuban,34166,REG23,5,,,
20097,TRD2022100301004,2534902200735957,1,Bunigeulis,45556,Padang Mulia,33681,REG23,3,,,
20098,TRD2022100301006,2534902200735981,1,Bunigeulis,45556,Marandang,74291,REG23,1,10,,
20099,TRD2022100301009,2534902200736211,1,Bunigeulis,45556,Pangkajene,91611,REG23,5,,,
20100,TRD2022100301011,2534902200735973,1,Bunigeulis,45556,Giri Agung,75552,REG23,5,,,
20101,TRD2022100301019,2534902200736146,1,Bunigeulis,45556,Tumpaan Dua,95352,REG23,5,,,
20102,TRD2022100301020,2534902200736161,1,Bunigeulis,45556,Lepolima,86116,REG23,5,,,
20103,TRD2022100301025,2534902200736120,1,Bunigeulis,45556,Bakunase Dua,85116,REG23,2,,,
20104,TRD2022100301026,2534902200736096,1,Bunigeulis,45556,Tumbang Tariak,74511,REG23,1,10,,
20105,TRD2022100301027,2534902200736039,1,Bunigeulis,45556,Morombo Pantai,93352,REG23,5,,,
20106,TRD2022100301029,2534902200736229,1,Bunigeulis,45556,Teluk Merbau,28991,REG23,1,10,,
20107,TRD2022100301053,0733272200554896,1,Pekayon Jaya,17148,Bakunase Dua,85116,REG23,2,,,
20108,TRD2022100301057,0733272200554987,1,Pekayon Jaya,17148,Fatukbot,85717,REG23,5,,,
20109,TRD2022100301064,0733272200555018,1,Pekayon Jaya,17148,Sawai Itepo,97853,REG23,5,,,
20110,TRD2022100301067,0733272200555042,1,Pekayon Jaya,17148,Batu Putih,83365,REG23,1,10,,
20111,TRD2022100301073,0733272200555117,1,Pekayon Jaya,17148,Fatukbot,85717,REG23,5,,,
20112,TRD2022100301080,0733272200555166,1,Pekayon Jaya,17148,Bosi,98457,REG23,6,,,
20113,TRD2022100301084,0733272200555208,1,Pekayon Jaya,17148,Wawonduru,84251,REG23,3,,,
20114,TRD2022100301086,0733272200555232,1,Pekayon Jaya,17148,Marantutul,97464,REG23,1,10,,
20115,TRD2022100301087,0733272200555240,1,Pekayon Jaya,17148,Sekuru,84172,REG23,3,,,
20116,TRD2022100301113,0733272200555406,1,Pekayon Jaya,17148,Sukaria,78863,REG23,5,,,
20117,TRD2022100301118,0733272200555497,1,Pekayon Jaya,17148,Oi Saro,84191,REG23,1,10,,
20118,TRD2022100301119,0733272200555489,1,Pekayon Jaya,17148,Biru,92714,REG23,5,,,
20119,TRD2022100301121,0733272200555430,1,Pekayon Jaya,17148,Lau Kidupen,22163,REG23,3,,,
20120,TRD2022100301125,0733272200555745,1,Pekayon Jaya,17148,Biyonga,96212,REG23,3,,,
20121,TRD2022100301139,0733272200555737,1,Pekayon Jaya,17148,Ela-Ela,92511,REG23,5,,,
20122,TRD2022100301170,0733272200556404,1,Pekayon Jaya,17148,Ranggagata,83571,REG23,3,,,
20123,TRD2022100301171,0733272200556396,1,Pekayon Jaya,17148,Kayumalue Ngapa,94146,REG23,2,,,
20124,TRD2022100301182,0733272200556644,1,Pekayon Jaya,17148,Les,81173,REG23,3,,,
20125,TRD2022100301183,0733272200556594,1,Pekayon Jaya,17148,Mbongawani,86313,REG23,5,,,
20126,TRD2022100301186,0733272200556719,1,Pekayon Jaya,17148,Alue Rambong,24453,REG23,3,,,
20127,TRD2022100301195,0733272200556867,1,Pekayon Jaya,17148,Rumah Tiga,97234,REG23,5,,,
20128,TRD2022100301204,0733272200557089,1,Pekayon Jaya,17148,Pantai Amal,77115,REG23,2,,,
20129,TRD2022100301205,0733272200556990,1,Pekayon Jaya,17148,Gamsungi,97762,REG23,3,,,
20130,TRD2022100301216,0733272200557188,1,Pekayon Jaya,17148,Tingkulu,95117,REG23,2,,,
20131,TRD2022100301220,0733272200557220,1,Pekayon Jaya,17148,Kuripan,59566,REG23,3,,,
20132,TRD2022100301222,0733272200557279,1,Pekayon Jaya,17148,Taima,94752,REG23,5,,,
20133,TRD2022100301231,0733272200557469,1,Pekayon Jaya,17148,Birobuli Utara,94231,REG23,2,,,
20134,TRD2022100301233,0733272200557519,1,Pekayon Jaya,17148,Gunung Tinggi,20353,REG23,3,,,
20135,TRD2022100301236,0733272200557642,1,Pekayon Jaya,17148,Ketsoblak,97611,REG23,1,10,,
20136,TRD2022100301238,0733272200557725,1,Pekayon Jaya,17148,Woloan Tiga,95423,REG23,5,,,
20137,TRD2022100301239,0733272200557733,1,Pekayon Jaya,17148,Malinau Hulu,77554,REG23,3,,,
20138,TRD2022100301256,0733272200558103,1,Pekayon Jaya,17148,Madong Raya,79674,REG23,5,,,
20139,TRD2022100301257,0733272200558129,1,Pekayon Jaya,17148,Sukamukti,92963,REG23,5,,,
20140,TRD2022100301262,0733272200558186,1,Pekayon Jaya,17148,Bukit Membual,94717,REG23,3,,,
20141,TRD2022100301267,0733272200558491,1,Pekayon Jaya,17148,Lasama,93653,REG23,5,,,
20142,TRD2022100301269,0733272200558426,1,Pekayon Jaya,17148,Bandar Baru,23126,REG23,1,,,
20143,TRD2022100301271,0733272200558368,1,Pekayon Jaya,17148,Kuanino,85119,REG23,2,,,
20144,TRD2022100301276,0733272200558350,1,Pekayon Jaya,17148,Mbuwa,99910,REG23,6,,,
20145,TRD2022100301293,0733272200559119,1,Pekayon Jaya,17148,Beting Kwala/Kuala Kapias,21335,REG23,3,,,
20146,TRD2022100301296,0733272200562360,1,Pekayon Jaya,17148,Sungai Keranji,29563,REG23,3,,,
20147,TRD2022100301299,0733272200558772,1,Pekayon Jaya,17148,Payung Sekaki,28558,REG23,3,,,
20148,TRD2022100301331,0733272200562287,1,Pekayon Jaya,17148,Igirmranak,56354,REG23,3,,,
20149,TRD2022100301337,0733272200559226,1,Pekayon Jaya,17148,Cinta Damai (Dame),20371,REG23,3,,,
20150,TRD2022100301346,0733272200559564,1,Pekayon Jaya,17148,Lesan Dayak,77362,REG23,5,,,
20151,TRD2022100301353,0733272200559614,1,Pekayon Jaya,17148,Makasili,95956,REG23,5,,,
20152,TRD2022100301355,0733272200560158,1,Pekayon Jaya,17148,Rada Mata,87255,REG23,1,10,,
20153,TRD2022100301356,0733272200560851,1,Pekayon Jaya,17148,Tanjung Rejo,20154,REG23,1,,,
20154,TRD2022100301360,0733272200559804,1,Pekayon Jaya,17148,Mayang Mangurai,36129,REG23,1,,,
20155,TRD2022100301373,0733272200559846,1,Pekayon Jaya,17148,Sumber Garonggong,73652,REG23,5,,,
20156,TRD2022100301380,0733272200559689,1,Pekayon Jaya,17148,Cemagi,80351,REG23,2,,,
20157,TRD2022100301384,0733272200562196,1,Pekayon Jaya,17148,Wana Sari,75655,REG23,5,,,
20158,TRD2022100301386,0733272200560174,1,Pekayon Jaya,17148,Bara-Baraya Timur,90143,REG23,2,,,
20159,TRD2022100301394,0733272200561255,1,Pekayon Jaya,17148,Batu Manangis,74281,REG23,5,,,
20160,TRD2022100301409,0733272200560117,1,Pekayon Jaya,17148,Kolosua,93353,REG23,5,,,
20161,TRD2022100301413,0733272200562071,1,Pekayon Jaya,17148,Koha Timur,95661,REG23,5,,,
20162,TRD2022100301414,0733272200560844,1,Pekayon Jaya,17148,Lunuk Bagantung,74356,REG23,5,,,
20163,TRD2022100301420,0733272200562220,1,Pekayon Jaya,17148,Mangadu,92261,REG23,5,,,
20164,TRD2022100301430,0733272200560349,1,Pekayon Jaya,17148,Apitalawu (Apitalawo),96261,REG23,5,,,
20165,TRD2022100301435,0733272200560562,1,Pekayon Jaya,17148,Hewuli,86115,REG23,5,,,
20166,TRD2022100301438,0733272200562162,1,Pekayon Jaya,17148,Benoa,80361,REG23,1,,,
20167,TRD2022100301440,0733272200561768,1,Pekayon Jaya,17148,Landah,83581,REG23,3,,,
20168,TRD2022100301456,0733272200561966,1,Pekayon Jaya,17148,Kali,95996,REG23,5,,,
20169,TRD2022100301464,0733272200561289,1,Pekayon Jaya,17148,Bukit,80811,REG23,3,,,
20170,TRD2022100301480,0733272200561883,1,Pekayon Jaya,17148,Bambu,91514,REG23,3,,,
20171,TRD2022100301481,0733272200561057,1,Pekayon Jaya,17148,Bukit Tunggal,73112,REG23,1,,,
20172,TRD2022100301486,0733272200561230,1,Pekayon Jaya,17148,So E (Soe),85519,REG23,3,,,
20173,TRD2022100301499,0733272200561792,1,Pekayon Jaya,17148,Rhee Loka,84352,REG23,3,,,
20174,TRD2022100301501,0733272200561727,1,Pekayon Jaya,17148,Tumbang Tariak,74511,REG23,4,,,
20175,TRD2022100301509,0733272200562014,1,Pekayon Jaya,17148,Tunggal Warga,34682,REG23,2,,,
20176,TRD2022100301510,0733272200555646,1,Pekayon Jaya,17148,Batu Manangis,74281,REG23,5,,,
20177,TRD2022100301516,0733272200555778,1,Pekayon Jaya,17148,Karangrejo,34113,REG23,2,,,
20178,TRD2022100301521,0733272200555893,1,Pekayon Jaya,17148,Perkebunan Pangkatan,21462,REG23,3,,,
20179,TRD2022100301532,0733272200556065,1,Pekayon Jaya,17148,Apela Satu (I),95537,REG23,5,,,
20180,TRD2022100301570,0733272200556743,1,Pekayon Jaya,17148,Lubuk Gadang Utara,27778,REG23,3,,,
20181,TRD2022100301571,0733272200556909,1,Pekayon Jaya,17148,Babura Sunggal,20121,REG23,1,,,
20182,TRD2022100301573,0733272200556735,1,Pekayon Jaya,17148,Biyonga,96212,REG23,3,,,
20183,TRD2022100301640,0733272200558079,1,Pekayon Jaya,17148,West Cengkareng,11730,REG23,1,,,
20184,TRD2022100301645,0733272200558335,1,Pekayon Jaya,17148,Santaban,79467,REG23,5,,,
20185,TRD2022100301663,0733272200558699,1,Pekayon Jaya,17148,Tugu,54472,REG23,3,,,
20186,TRD2022100301668,0733272200559473,1,Pekayon Jaya,17148,Medan Tenggara,20228,REG23,1,,,
20187,TRD2022100301674,0733272200558913,1,Pekayon Jaya,17148,Cibodas Baru,15138,REG23,1,,,
20188,TRD2022100301684,0733272200559531,1,Pekayon Jaya,17148,Tambaksari,41357,REG23,2,,,
20189,TRD2022100301685,0733272200558897,1,Pekayon Jaya,17148,Tanjungpauh Talang Pelita,36364,REG23,3,,,
20190,TRD2022100301686,0733272200559648,1,Pekayon Jaya,17148,Darat Sekip,78117,REG23,1,,,
20191,TRD2022100301696,0733272200558954,1,Pekayon Jaya,17148,Maratua Teluk Harapan,77381,REG23,5,,,
20192,TRD2022100301701,0733272200561628,1,Pekayon Jaya,17148,Balam Sempurna Kota,28992,REG23,3,,,
20193,TRD2022100301702,0733272200558962,1,Pekayon Jaya,17148,Buliang,29438,REG23,1,,,
20194,TRD2022100301740,0733272200559341,1,Pekayon Jaya,17148,Watutau,94653,REG23,5,,,
20195,TRD2022100301754,0733272200560182,1,Pekayon Jaya,17148,Cipulus,45466,REG23,3,,,
20196,TRD2022100301772,0733272200560125,1,Pekayon Jaya,17148,Babura Sunggal,20121,REG23,1,,,
20197,TRD2022100301777,0733272200561008,1,Pekayon Jaya,17148,Kalangsari,41352,REG23,1,,,
20198,TRD2022100301782,0733272200560885,1,Pekayon Jaya,17148,Sereh,99352,REG23,4,,,
20199,TRD2022100301804,0733272200560521,1,Pekayon Jaya,17148,Pagak,57272,REG23,3,,,
20200,TRD2022100302155,0733272200562493,1,Pekayon Jaya,17148,Baciro,55225,REG23,1,,,
20201,TRD2022100302161,0733272200562527,1,Pekayon Jaya,17148,Bakunase Dua,85116,REG23,2,,,
20202,TRD2022100302172,0733272200562592,1,Pekayon Jaya,17148,Benoa,80361,REG23,1,,,
20203,TRD2022100302177,0733272200562733,1,Pekayon Jaya,17148,Angkasapura,99113,REG23,2,,,
20204,TRD2022100302185,0733272200562741,1,Pekayon Jaya,17148,Siaga (Nyempen),79181,REG23,5,,,
20205,TRD2022100302201,0733272200562956,1,Pekayon Jaya,17148,Bakunase Dua,85116,REG23,2,,,
20206,TRD2022100302202,0733272200562972,1,Pekayon Jaya,17148,Kota Matsum II,20215,REG23,1,,,
20207,TRD2022100302219,0733272200563129,1,Pekayon Jaya,17148,Pasar Muaradua,32211,REG23,2,,,
20208,TRD2022100302223,0733272200563178,1,Pekayon Jaya,17148,Cimuncang,42111,REG23,1,,,
20209,TRD2022100302224,0733272200563186,1,Pekayon Jaya,17148,Mayang Mangurai,36129,REG23,1,,,
20210,TRD2022100302233,0733272200563384,1,Pekayon Jaya,17148,Teluk Merbau,28991,REG23,1,10,,
20211,TRD2022100302282,0733272200563764,1,Pekayon Jaya,17148,Baru,13780,REG23,1,,,
20212,TRD2022100302287,0733272200563863,1,Pekayon Jaya,17148,Bumiayu,38216,REG23,1,,,
20213,TRD2022100302292,0733272200563855,1,Pekayon Jaya,17148,Mangkio Baru,94711,REG23,3,,,
20214,TRD2022100302296,0733272200563897,1,Pekayon Jaya,17148,Bandar Baru,23126,REG23,1,,,
20215,TRD2022100302330,0733272200564242,1,Pekayon Jaya,17148,Seteluk Atas,84454,REG23,1,10,,
20216,TRD2022100302348,0733272200564390,1,Pekayon Jaya,17148,Baru Sri Menanti,37152,REG23,3,,,
20217,TRD2022100302351,0733272200564465,1,Pekayon Jaya,17148,Kamasi,95442,REG23,5,,,
20218,TRD2022100302352,0733272200564507,1,Pekayon Jaya,17148,Baharu Selatan,72115,REG23,5,,,
20219,TRD2022100302354,0733272200564499,1,Pekayon Jaya,17148,Cipete Utara,12150,REG23,1,,,
20220,TRD2022100302361,0733272200564614,1,Pekayon Jaya,17148,Seriang,78767,REG23,5,,,
20221,TRD2022100302373,0733272200564713,1,Pekayon Jaya,17148,Bakaru,91254,REG23,5,,,
20222,TRD2022100302375,0733272200564606,1,Pekayon Jaya,17148,Perk. Damuli,21457,REG23,3,,,
20223,TRD2022100302376,0733272200564671,1,Pekayon Jaya,17148,Bencah/Boncah Kesuma,28554,REG23,3,,,
20224,TRD2022100302391,0733272200564929,1,Pekayon Jaya,17148,Bakungin,73525,REG23,5,,,
20225,TRD2022100302396,0733272200564895,1,Pekayon Jaya,17148,Kuler (Tunas Baru),99616,REG23,6,,,
20226,TRD2022100302402,0733272200564945,1,Pekayon Jaya,17148,Pasar Ketahun,38361,REG23,3,,,
20227,TRD2022100302415,0733272200565116,1,Pekayon Jaya,17148,Cakung Barat,13910,REG23,1,,,
20228,TRD2022100302423,0733272200565132,1,Pekayon Jaya,17148,Seriang,78767,REG23,5,,,
20229,TRD2022100302428,0733272200565173,1,Pekayon Jaya,17148,Pematang Pudu,28784,REG23,3,,,
20230,TRD2022100302436,0733272200565264,1,Pekayon Jaya,17148,Salo,28451,REG23,3,,,
20231,TRD2022100302452,0733272200565462,1,Pekayon Jaya,17148,Alue Rambong,24453,REG23,3,,,
20232,TRD2022100302456,0733272200565439,1,Pekayon Jaya,17148,Baamang Barat,74312,REG23,5,,,
20233,TRD2022100302464,0733272200565561,1,Pekayon Jaya,17148,Kalirejo,35365,REG23,3,,,
20234,TRD2022100302467,0733272200565587,1,Pekayon Jaya,17148,Kedungrejo,68472,REG23,3,,,
20235,TRD2022100302468,0733272200565603,1,Pekayon Jaya,17148,Sei/Sungai Bakar,70815,REG23,5,,,
20236,TRD2022100302493,0733272200565934,1,Pekayon Jaya,17148,Kubang Jaya,28452,REG23,3,,,
20237,TRD2022100302496,0733272200565819,1,Pekayon Jaya,17148,Skow Mabo (Skouw Mabo ),99351,REG23,6,,,
20238,TRD2022100302499,0733272200565892,1,Pekayon Jaya,17148,Bukit Padang,24394,REG23,3,,,
20239,TRD2022100302502,0733272200565918,1,Pekayon Jaya,17148,Ndeskati,22153,REG23,3,,,
20240,TRD2022100302526,0733272200566155,1,Pekayon Jaya,17148,Sungai Nangka,76114,REG23,1,,,
20241,TRD2022100302527,0733272200566205,1,Pekayon Jaya,17148,Daun,61181,REG23,3,,,
20242,TRD2022100302545,0733272200566437,1,Pekayon Jaya,17148,Banjarejo,62118,REG23,2,,,
20243,TRD2022100302556,0733272200566452,1,Pekayon Jaya,17148,Tingkulu,95117,REG23,2,,,
20244,TRD2022100302560,0733272200566502,1,Pekayon Jaya,17148,Pagar,34161,REG23,2,,,
20245,TRD2022100302561,0733272200566494,1,Pekayon Jaya,17148,Sebesi (Sei Sebesi),29662,REG23,3,,,
20246,TRD2022100302565,0733272200566593,1,Pekayon Jaya,17148,Nalui,71574,REG23,5,,,
20247,TRD2022100302571,0733272200566676,1,Pekayon Jaya,17148,Ujung Harapan,23892,REG23,1,10,,
20248,TRD2022100302584,0733272200566783,1,Pekayon Jaya,17148,Cilandak Barat,12430,REG23,1,,,
20249,TRD2022100302588,0733272200566825,1,Pekayon Jaya,17148,Karangkedawang,61361,REG23,1,,,
20250,TRD2022100302591,0733272200566833,1,Pekayon Jaya,17148,Panjer,80225,REG23,1,,,
20251,TRD2022100302598,0733272200566890,1,Pekayon Jaya,17148,Panjer,80225,REG23,1,,,
20252,TRD2022100302613,0733272200567005,1,Pekayon Jaya,17148,Mareje Timur,83364,REG23,3,,,
20253,TRD2022100302619,0733272200567153,1,Pekayon Jaya,17148,Babura Sunggal,20121,REG23,1,,,
20254,TRD2022100302620,0733272200567070,1,Pekayon Jaya,17148,Lunuk Bagantung,74356,REG23,5,,,
20255,TRD2022100302653,0733272200567385,1,Pekayon Jaya,17148,Jaibaru Timur,84119,REG23,2,,,
20256,TRD2022100302665,0733272200567674,1,Pekayon Jaya,17148,Kuler (Tunas Baru),99616,REG23,6,,,
20257,TRD2022100302671,0733272200567617,1,Pekayon Jaya,17148,Remau Baku Tuo,36773,REG23,3,,,
